UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Dago
31-Dec;GIRO; 0,0045043 ; 0,1633955 ; 0,0321846 ; 0,0086913 ; 0,0403682 ; 9,4010328 ; 0,0160250 ; 0,0842721 ; 0,0909076 ; 0,4069110 ; 0,0229721 ; 0,1397134 ; 2,2334802 ; 0,0085335 ; 0,0621699 ; 0,0240928 ; 1,3897812 ; 0,0816211 ; 2,1887546 ; 0,0185587 ; 1,9308078 ; 0,0037543 ; 0,0096799 ; 0,2531182 ; 0,7030327 ; 0,0046633 ; 0,0016765 ; -787,00 ; -412,00 ; -410,00 ; 19,3247025 ; 0,2491438 ; 9,9991485 ; 2,4668691 ; 5,6336162 ; 0,9759249 ;;
05-Feb;GIRO; 0,00 ; 0,09 ; 0,07 ; 0,01 ; 0,04 ; 12,21 ; 0,02 ; 0,32 ; 0,09 ; 0,62 ; 0,02 ; 0,14 ; 0,46 ; 0,06 ; 0,06 ; 0,02 ; 1,29 ; 0,07 ; 0,03 ; 0,02 ; 0,12 ; 0,00 ; 0,00 ; 0,25 ; 0,24 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
06-Feb;GIRO; 0,00 ; 0,09 ; 0,07 ; 0,01 ; 0,04 ; 12,24 ; 0,02 ; 0,07 ; 0,09 ; 0,65 ; 0,02 ; 0,14 ; 0,28 ; 0,06 ; 0,06 ; 0,02 ; 1,50 ; 0,07 ; 0,03 ; 0,02 ; 0,12 ; 0,00 ; 0,00 ; 0,15 ; 0,26 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
07-Feb;GIRO; 0,00 ; 0,09 ; 0,06 ; 0,01 ; 0,04 ; 12,28 ; 0,02 ; 0,27 ; 0,09 ; 0,65 ; 0,02 ; 0,14 ; 0,65 ; 0,06 ; 0,06 ; 0,02 ; 1,25 ; 0,07 ; 0,03 ; 0,02 ; 0,12 ; 0,00 ; 0,00 ; 0,15 ; 0,27 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
08-Feb;GIRO; 0,00 ; 0,09 ; 0,03 ; 0,01 ; 0,04 ; 12,28 ; 0,02 ; 0,14 ; 0,09 ; 0,65 ; 0,02 ; 0,14 ; 0,50 ; 0,06 ; 0,06 ; 0,02 ; 1,27 ; 0,07 ; 0,03 ; 0,02 ; 0,12 ; 0,00 ; 0,00 ; 0,15 ; 0,27 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
09-Feb;GIRO; 0,00 ; 0,09 ; 0,04 ; 0,01 ; 0,04 ; 12,19 ; 0,02 ; 0,13 ; 0,09 ; 0,68 ; 0,02 ; 0,14 ; 0,26 ; 0,06 ; 0,06 ; 0,02 ; 1,54 ; 0,06 ; 0,15 ; 0,03 ; 0,12 ; 0,00 ; 0,00 ; 0,15 ; 0,02 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
10-Feb;GIRO; 0,00 ; 0,10 ; 0,04 ; 0,01 ; 0,04 ; 12,23 ; 0,02 ; 0,34 ; 0,09 ; 0,72 ; 0,02 ; 0,14 ; 0,40 ; 0,06 ; 0,06 ; 0,02 ; 0,80 ; 0,06 ; 0,15 ; 0,02 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,03 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
11-Feb;GIRO; 0,00 ; 0,10 ; 0,03 ; 0,01 ; 0,04 ; 12,34 ; 0,02 ; 0,32 ; 0,09 ; 0,78 ; 0,02 ; 0,14 ; 0,32 ; 0,06 ; 0,06 ; 0,02 ; 0,43 ; 0,06 ; 0,12 ; 0,02 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,04 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
12-Feb;GIRO; 0,00 ; 0,10 ; 0,04 ; 0,01 ; 0,04 ; 2,33 ; 0,02 ; 0,34 ; 0,09 ; 0,55 ; 0,02 ; 0,14 ; 0,31 ; 0,06 ; 0,06 ; 0,02 ; 0,61 ; 0,06 ; 0,36 ; 0,03 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,06 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
13-Feb;GIRO; 0,00 ; 0,10 ; 0,02 ; 0,01 ; 0,04 ; 2,37 ; 0,02 ; 0,28 ; 0,09 ; 0,60 ; 0,02 ; 0,14 ; 0,23 ; 0,06 ; 0,06 ; 0,02 ; 0,73 ; 0,06 ; 0,12 ; 0,03 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,10 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
14-Feb;GIRO; 0,00 ; 0,10 ; 0,10 ; 0,01 ; 0,04 ; 2,40 ; 0,02 ; 0,24 ; 0,09 ; 0,62 ; 0,02 ; 0,14 ; 0,29 ; 0,06 ; 0,06 ; 0,02 ; 0,72 ; 0,06 ; 0,12 ; 0,03 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,10 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
15-Feb;GIRO; 0,00 ; 0,10 ; 0,03 ; 0,01 ; 0,04 ; 2,39 ; 0,02 ; 0,24 ; 0,09 ; 0,62 ; 0,02 ; 0,14 ; 0,38 ; 0,06 ; 0,06 ; 0,02 ; 0,73 ; 0,06 ; 0,13 ; 0,02 ; 0,04 ; 0,00 ; 0,00 ; 0,15 ; 0,10 ; 0,01 ; 0,01 ; 0,00 ; 0,00 ; 0,00 
