UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;;;;;;;;
18-Dec;CASA;678,66;710,45;970,33;1.153,41;698,82;935,79;1.220,47;858,52;1.232,47;961,58;661,38;960,1;1.329,58;917,66;938,63;726,37;840,03;1.138,79;981,53;745,18;914,77;320,34;895,33;537,75;509,78;378,47;344,06;22.560,23;4.211,67;5.208,82;4.807,35;5.346,67;2.985,71;;
19-Dec;CASA;678,59;713,03;969,64;1.152,19;696,4;945,35;1.224,53;859,63;1.233,40;969,67;663,26;963,67;1.329,80;920,13;940,83;727,62;843,17;1.144,39;983,09;747,26;920,55;320,98;897,8;544,74;509,22;380,01;344,99;22.623,93;4.209,85;5.232,58;4.817,69;5.366,09;2.997,73;;
20-Dec;CASA;676,99;709,73;966,62;1.145,72;692,17;938,15;1.219,16;857,8;1.228,91;964,67;660,46;962,46;1.328,53;916,93;942,19;725,95;839,11;1.138,94;980,11;745,28;917,5;318,88;894,34;541,22;505,8;377,71;342,52;22.537,88;4.191,24;5.208,69;4.810,58;5.346,89;2.980,48;;
21-Dec;CASA;673,32;705,39;964,15;1.144,33;689,89;933,99;1.215,85;853,56;1.227,10;963,85;658,56;958,73;1.328,53;915,58;938,33;720,81;834,52;1.132,64;975,69;743,03;913,66;318,21;891,52;539,36;504,46;376,41;340,28;22.461,75;4.177,08;5.194,35;4.799,72;5.320,35;2.970,24;;
22-Dec;CASA;676,56;703,79;965,93;1.142,02;687,77;933,87;1.218,53;852,13;1.227,09;967,44;658,67;961,42;1.327,12;915,86;941,54;722,06;832,7;1.134,31;970,78;746,05;915,12;319,86;898;533,06;508,21;375,76;344,07;22.479,75;4.176,07;5.199,06;4.804,62;5.321,02;2.978,97;;
23-Dec;CASA;678,3;704,68;971,1;1.145,12;687,63;931,56;1.221,75;853,11;1.228,87;969,23;657,6;960,86;1.328,90;916,49;943,21;725,9;833,09;1.137,45;971,63;747,19;916,75;320,49;897,73;535,54;512,83;378,73;343,06;22.518,79;4.186,84;5.204,53;4.807,05;5.332,01;2.988,37;;
24-Dec;CASA;688,14;706,55;975,15;1.144,37;683,2;955,45;1.216,54;855,38;1.236,33;974,56;658,25;964,42;1.339,02;926,4;943,78;735,48;841,11;1.145,62;969,89;752,78;923,05;322,27;906,88;538,77;517,9;380,51;343,63;22.645,44;4.197,41;5.238,26;4.831,87;5.367,92;3.009,98;;
25-Dec;CASA;680,52;703,54;970,13;1.138,73;679,49;946,83;1.208,99;851,59;1.229,30;969,56;650,8;953,96;1.321,99;918,46;937,89;726,93;833,07;1.135,99;959,82;745,44;913,47;319,25;899,25;533,71;513,65;376,36;341,76;22.460,47;4.172,42;5.206,27;4.783,09;5.314,72;2.983,98;;
26-Dec;CASA;677,96;698,67;967,58;1.134,17;680,05;943,55;1.205,00;850,59;1.227,29;969,59;648,73;954,97;1.321,24;916,6;938,12;724,13;829,9;1.135,15;955,91;743,38;910,95;318,21;896,74;532,33;513,79;374,92;340,49;22.409,99;4.158,44;5.196,02;4.779,65;5.299,40;2.976,47;;
27-Dec;CASA;678,72;697,68;967,95;1.134,12;677,2;943,44;1.203,65;851,06;1.225,75;966,24;652,09;955,19;1.325,83;916,85;942,36;723,83;833,43;1.133,43;959,45;741,35;909,16;316,6;893,6;530,25;511,52;375,29;338,28;22.404,29;4.155,67;5.190,13;4.792,32;5.300,64;2.965,53;;
