UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Dago
16-Aug; 714,00 ; 758,00 ; 1.033,00 ; 1.238,00 ; 675,00 ; 932,00 ; 1.278,00 ; 878,00 ; 1.249,00 ; 1.006,00 ; 707,00 ; 1.014,00 ; 1.412,00 ; 957,00 ; 1.017,00 ; 745,00 ; 876,00 ; 1.175,00 ; 1.032,00 ; 798,00 ; 952,00 ; 439,00 ; 403,00 ; 340,00 ; 338,00 ; 429,00 ; 421,00 ; 0,00 ; 263,00 ; 358,00 
17-Aug; 711,00 ; 753,00 ; 1.031,00 ; 1.234,00 ; 672,00 ; 924,00 ; 1.271,00 ; 875,00 ; 1.245,00 ; 1.003,00 ; 702,00 ; 1.011,00 ; 1.407,00 ; 955,00 ; 1.011,00 ; 743,00 ; 873,00 ; 1.171,00 ; 1.023,00 ; 797,00 ; 951,00 ; 438,00 ; 401,00 ; 340,00 ; 336,00 ; 429,00 ; 420,00 ; 0,00 ; 263,00 ; 357,00 
18-Aug; 712,00 ; 754,00 ; 1.026,00 ; 1.227,00 ; 669,00 ; 924,00 ; 1.263,00 ; 874,00 ; 1.243,00 ; 1.004,00 ; 698,00 ; 1.014,00 ; 1.407,00 ; 954,00 ; 1.011,00 ; 744,00 ; 870,00 ; 1.171,00 ; 1.016,00 ; 793,00 ; 953,00 ; 437,00 ; 401,00 ; 340,00 ; 337,00 ; 431,00 ; 416,00 ; 0,00 ; 264,00 ; 357,00 
19-Aug; 709,00 ; 750,00 ; 1.028,00 ; 1.225,00 ; 667,00 ; 918,00 ; 1.256,00 ; 873,00 ; 1.242,00 ; 1.006,00 ; 693,00 ; 1.010,00 ; 1.410,00 ; 958,00 ; 1.013,00 ; 744,00 ; 868,00 ; 1.171,00 ; 1.012,00 ; 794,00 ; 954,00 ; 437,00 ; 400,00 ; 341,00 ; 336,00 ; 431,00 ; 417,00 ; 0,00 ; 264,00 ; 357,00 
20-Aug; 704,00 ; 777,00 ; 1.024,00 ; 1.232,00 ; 691,00 ; 961,00 ; 1.313,00 ; 870,00 ; 1.237,00 ; 1.009,00 ; 732,00 ; 1.034,00 ; 1.398,00 ; 954,00 ; 1.026,00 ; 741,00 ; 866,00 ; 1.168,00 ; 1.083,00 ; 795,00 ; 951,00 ; 437,00 ; 400,00 ; 340,00 ; 335,00 ; 430,00 ; 418,00 ; 0,00 ; 262,00 ; 356,00 
21-Aug; 707,00 ; 762,00 ; 1.028,00 ; 1.230,00 ; 676,00 ; 938,00 ; 1.289,00 ; 871,00 ; 1.243,00 ; 1.008,00 ; 710,00 ; 1.018,00 ; 1.404,00 ; 954,00 ; 1.016,00 ; 741,00 ; 869,00 ; 1.173,00 ; 1.044,00 ; 797,00 ; 953,00 ; 436,00 ; 402,00 ; 340,00 ; 337,00 ; 430,00 ; 418,00 ; 0,00 ; 263,00 ; 357,00 
22-Aug; 706,00 ; 754,00 ; 1.023,00 ; 1.230,00 ; 673,00 ; 930,00 ; 1.275,00 ; 871,00 ; 1.243,00 ; 1.006,00 ; 705,00 ; 1.013,00 ; 1.401,00 ; 952,00 ; 1.011,00 ; 741,00 ; 868,00 ; 1.173,00 ; 1.032,00 ; 793,00 ; 950,00 ; 435,00 ; 401,00 ; 339,00 ; 334,00 ; 429,00 ; 416,00 ; 0,00 ; 261,00 ; 355,00 
23-Aug; 704,00 ; 751,00 ; 1.022,00 ; 1.230,00 ; 670,00 ; 923,00 ; 1.268,00 ; 869,00 ; 1.242,00 ; 1.001,00 ; 702,00 ; 1.009,00 ; 1.400,00 ; 951,00 ; 1.007,00 ; 739,00 ; 868,00 ; 1.169,00 ; 1.022,00 ; 792,00 ; 949,00 ; 434,00 ; 400,00 ; 338,00 ; 333,00 ; 427,00 ; 415,00 ; 0,00 ; 260,00 ; 354,00 
24-Aug; 713,00 ; 752,00 ; 1.024,00 ; 1.230,00 ; 667,00 ; 930,00 ; 1.260,00 ; 876,00 ; 1.244,00 ; 1.009,00 ; 701,00 ; 1.010,00 ; 1.408,00 ; 955,00 ; 1.013,00 ; 746,00 ; 870,00 ; 1.170,00 ; 1.017,00 ; 797,00 ; 953,00 ; 437,00 ; 404,00 ; 341,00 ; 336,00 ; 432,00 ; 416,00 ; 0,00 ; 262,00 ; 356,00 
25-Aug; 703,00 ; 746,00 ; 1.022,00 ; 1.234,00 ; 663,00 ; 921,00 ; 1.253,00 ; 873,00 ; 1.237,00 ; 1.000,00 ; 692,00 ; 999,00 ; 1.392,00 ; 947,00 ; 1.007,00 ; 739,00 ; 859,00 ; 1.161,00 ; 1.004,00 ; 790,00 ; 945,00 ; 435,00 ; 401,00 ; 338,00 ; 333,00 ; 428,00 ; 413,00 ; 0,00 ; 260,00 ; 353,00 
26-Aug; 706,00 ; 749,00 ; 1.020,00 ; 1.234,00 ; 657,00 ; 919,00 ; 1.255,00 ; 872,00 ; 1.239,00 ; 1.004,00 ; 689,00 ; 1.000,00 ; 1.395,00 ; 949,00 ; 1.008,00 ; 740,00 ; 860,00 ; 1.165,00 ; 1.003,00 ; 792,00 ; 949,00 ; 438,00 ; 401,00 ; 341,00 ; 334,00 ; 429,00 ; 410,00 ; 0,00 ; 259,00 ; 353,00 
27-Aug; 710,00 ; 746,00 ; 1.025,00 ; 1.238,00 ; 659,00 ; 921,00 ; 1.257,00 ; 878,00 ; 1.241,00 ; 1.006,00 ; 692,00 ; 1.000,00 ; 1.399,00 ; 952,00 ; 1.010,00 ; 741,00 ; 866,00 ; 1.171,00 ; 1.005,00 ; 794,00 ; 947,00 ; 439,00 ; 405,00 ; 343,00 ; 337,00 ; 430,00 ; 408,00 ; 0,00 ; 261,00 ; 355,00 
28-Aug; 717,00 ; 752,00 ; 1.031,00 ; 1.240,00 ; 667,00 ; 928,00 ; 1.265,00 ; 881,00 ; 1.251,00 ; 1.009,00 ; 696,00 ; 1.009,00 ; 1.405,00 ; 959,00 ; 1.014,00 ; 746,00 ; 874,00 ; 1.174,00 ; 1.013,00 ; 799,00 ; 956,00 ; 442,00 ; 406,00 ; 343,00 ; 338,00 ; 431,00 ; 409,00 ; 0,00 ; 264,00 ; 357,00 
