UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
21-Jan;CASA; 445 ; 376 ; 500 ; 233 ; 276 ; 413 ; 316 ; 427 ; 387 ; 964 ; 302 ; 518 ; 574 ; 275 ; 264 ; 334 ; 408 ; 767 ; 413 ; 336 ; 258 ; 557 ; 895 ; 1068 ; 485 ; 770 ; 491 ; 630 ; 440 ; 1220 
22-Jan;CASA; 447 ; 377 ; 503 ; 240 ; 283 ; 414 ; 313 ; 425 ; 384 ; 959 ; 305 ; 520 ; 584 ; 290 ; 260 ; 335 ; 405 ; 774 ; 410 ; 331 ; 262 ; 541 ; 902 ; 1069 ; 484 ; 811 ; 491 ; 632 ; 439 ; 1225 
24-Jan;CASA; 440 ; 372 ; 496 ; 236 ; 279 ; 416 ; 317 ; 418 ; 393 ; 968 ; 302 ; 535 ; 582 ; 279 ; 271 ; 334 ; 450 ; 786 ; 425 ; 351 ; 276 ; 545 ; 951 ; 1076 ; 487 ; 804 ; 505 ; 666 ; 420 ; 1229 
25-Jan;CASA; 437 ; 370 ; 493 ; 232 ; 279 ; 415 ; 313 ; 415 ; 393 ; 968 ; 302 ; 534 ; 583 ; 277 ; 269 ; 334 ; 450 ; 782 ; 424 ; 348 ; 275 ; 547 ; 952 ; 1078 ; 487 ; 791 ; 504 ; 665 ; 421 ; 1226 
26-Jan;CASA; 443 ; 382 ; 482 ; 246 ; 306 ; 422 ; 311 ; 409 ; 389 ; 968 ; 299 ; 522 ; 578 ; 275 ; 262 ; 326 ; 412 ; 803 ; 418 ; 352 ; 270 ; 529 ; 904 ; 1.055 ; 504 ; 825 ; 514 ; 667 ; 427 ; 1.238 
27-Jan;CASA; 447 ; 380 ; 471 ; 233 ; 305 ; 422 ; 311 ; 416 ; 395 ; 974 ; 297 ; 519 ; 578 ; 276 ; 273 ; 315 ; 412 ; 807 ; 428 ; 347 ; 270 ; 546 ; 893 ; 1.090 ; 501 ; 823 ; 566 ; 675 ; 635 ; 1.230 
28-Jan;CASA; 437 ; 390 ; 486 ; 237 ; 307 ; 420 ; 313 ; 412 ; 396 ; 989 ; 304 ; 509 ; 574 ; 275 ; 274 ; 321 ; 410 ; 798 ; 422 ; 343 ; 261 ; 543 ; 896 ; 1.186 ; 509 ; 834 ; 560 ; 682 ; 652 ; 1.240 
29-Jan;CASA; 453 ; 414 ; 485 ; 244 ; 302 ; 424 ; 315 ; 405 ; 398 ; 989 ; 308 ; 551 ; 575 ; 281 ; 262 ; 328 ; 407 ; 797 ; 424 ; 342 ; 259 ; 575 ; 897 ; 1.175 ; 519 ; 849 ; 567 ; 718 ; 658 ; 1.251 
30-Jan;CASA; 486 ; 419 ; 512 ; 258 ; 321 ; 431 ; 322 ; 474 ; 414 ; 1.071 ; 309 ; 552 ; 584 ; 280 ; 270 ; 336 ; 444 ; 883 ; 471 ; 362 ; 272 ; 626 ; 939 ; 1.298 ; 539 ; 852 ; 520 ; 817 ; 677 ; 1.364 
31-Jan;CASA; 485 ; 431 ; 503 ; 270 ; 320 ; 437 ; 322 ; 478 ; 422 ; 1.079 ; 308 ; 560 ; 604 ; 280 ; 275 ; 342 ; 445 ; 882 ; 496 ; 364 ; 273 ; 636 ; 942 ; 1.300 ; 546 ; 863 ; 523 ; 817 ; 725 ; 1.361 
02-Feb;CASA; 483 ; 423 ; 508 ; 249 ; 319 ; 437 ; 321 ; 483 ; 408 ; 1076 ; 308 ; 553 ; 591 ; 289 ; 274 ; 327 ; 416 ; 826 ; 451 ; 361 ; 265 ; 664 ; 928 ; 1189 ; 536 ; 872 ; 523 ; 764 ; 658 ; 1346 
03-Feb;CASA; 483 ; 418 ; 498 ; 244 ; 303 ; 435 ; 319 ; 485 ; 415 ; 1074 ; 306 ; 550 ; 580 ; 296 ; 275 ; 329 ; 415 ; 822 ; 429 ; 351 ; 264 ; 632 ; 924 ; 1167 ; 512 ; 887 ; 457 ; 721 ; 454 ; 1319 
04-Feb;CASA; 478 ; 420 ; 495 ; 244 ; 300 ; 432 ; 319 ; 482 ; 407 ; 1077 ; 307 ; 554 ; 615 ; 297 ; 276 ; 326 ; 417 ; 823 ; 421 ; 351 ; 263 ; 592 ; 915 ; 1164 ; 494 ; 855 ; 456 ; 706 ; 449 ; 1317 
05-Feb;CASA; 447 ; 418 ; 493 ; 243 ; 300 ; 426 ; 315 ; 486 ; 406 ; 1055 ; 301 ; 542 ; 581 ; 287 ; 271 ; 324 ; 415 ; 818 ; 423 ; 339 ; 262 ; 631 ; 910 ; 1183 ; 490 ; 848 ; 452 ; 713 ; 427 ; 1313 
06-Feb;CASA; 457 ; 423 ; 493 ; 241 ; 306 ; 433 ; 315 ; 415 ; 412 ; 1100 ; 306 ; 546 ; 577 ; 284 ; 280 ; 326 ; 447 ; 809 ; 439 ; 336 ; 270 ; 570 ; 901 ; 1187 ; 511 ; 839 ; 501 ; 732 ; 433 ; 1296 
07-Feb;CASA; 455 ; 424 ; 488 ; 232 ; 306 ; 430 ; 316 ; 414 ; 412 ; 1095 ; 306 ; 549 ; 575 ; 282 ; 278 ; 326 ; 447 ; 803 ; 436 ; 337 ; 268 ; 572 ; 896 ; 1185 ; 507 ; 826 ; 504 ; 733 ; 433 ; 1294 
08-Feb;CASA; 453 ; 423 ; 488 ; 231 ; 305 ; 428 ; 315 ; 412 ; 413 ; 1096 ; 305 ; 551 ; 573 ; 281 ; 278 ; 328 ; 448 ; 796 ; 434 ; 337 ; 269 ; 572 ; 898 ; 1187 ; 505 ; 820 ; 504 ; 734 ; 436 ; 1294 
09-Feb;CASA; 448 ; 405 ; 488 ; 231 ; 317 ; 425 ; 314 ; 410 ; 396 ; 1092 ; 309 ; 542 ; 580 ; 279 ; 273 ; 328 ; 418 ; 796 ; 424 ; 333 ; 268 ; 522 ; 885 ; 1146 ; 511 ; 824 ; 503 ; 721 ; 434 ; 1279 
10-Feb;CASA; 450 ; 407 ; 488 ; 236 ; 301 ; 430 ; 314 ; 416 ; 407 ; 1102 ; 306 ; 543 ; 575 ; 274 ; 271 ; 327 ; 419 ; 800 ; 420 ; 335 ; 263 ; 518 ; 886 ; 1151 ; 485 ; 829 ; 446 ; 685 ; 433 ; 1273 
11-Feb;CASA; 449 ; 407 ; 501 ; 232 ; 297 ; 426 ; 314 ; 414 ; 400 ; 1098 ; 304 ; 547 ; 573 ; 284 ; 271 ; 330 ; 409 ; 793 ; 419 ; 334 ; 263 ; 523 ; 887 ; 1155 ; 495 ; 822 ; 446 ; 680 ; 427 ; 1284 
12-Feb;CASA; 455 ; 407 ; 495 ; 231 ; 299 ; 432 ; 318 ; 416 ; 390 ; 1086 ; 300 ; 546 ; 568 ; 281 ; 260 ; 332 ; 408 ; 792 ; 426 ; 331 ; 263 ; 522 ; 887 ; 1167 ; 490 ; 824 ; 447 ; 682 ; 427 ; 1308 
13-Feb;CASA; 465 ; 403 ; 496 ; 233 ; 304 ; 432 ; 317 ; 410 ; 399 ; 1078 ; 303 ; 547 ; 568 ; 278 ; 267 ; 331 ; 439 ; 794 ; 428 ; 339 ; 269 ; 528 ; 897 ; 1140 ; 508 ; 829 ; 467 ; 706 ; 428 ; 1280 
14-Feb;CASA; 465 ; 403 ; 493 ; 226 ; 301 ; 428 ; 317 ; 409 ; 400 ; 1080 ; 299 ; 552 ; 565 ; 278 ; 265 ; 331 ; 441 ; 790 ; 425 ; 342 ; 265 ; 527 ; 892 ; 1143 ; 505 ; 819 ; 470 ; 705 ; 429 ; 1278 
15-Feb;CASA; 463 ; 401 ; 493 ; 226 ; 300 ; 429 ; 316 ; 407 ; 394 ; 1083 ; 301 ; 549 ; 566 ; 275 ; 267 ; 331 ; 442 ; 790 ; 425 ; 341 ; 265 ; 528 ; 889 ; 1144 ; 504 ; 819 ; 470 ; 705 ; 430 ; 1275 
16-Feb;CASA; 462 ; 402 ; 491 ; 229 ; 297 ; 426 ; 319 ; 406 ; 394 ; 1089 ; 303 ; 547 ; 562 ; 273 ; 267 ; 329 ; 443 ; 786 ; 424 ; 341 ; 262 ; 528 ; 892 ; 1146 ; 502 ; 810 ; 474 ; 708 ; 436 ; 1271 
17-Feb;CASA; 460 ; 399 ; 492 ; 226 ; 298 ; 426 ; 318 ; 403 ; 395 ; 1095 ; 302 ; 548 ; 558 ; 271 ; 267 ; 328 ; 445 ; 784 ; 423 ; 339 ; 263 ; 531 ; 889 ; 1151 ; 501 ; 796 ; 475 ; 710 ; 437 ; 1270 
19-Feb;CASA; 447 ; 396 ; 484 ; 241 ; 299 ; 426 ; 318 ; 404 ; 387 ; 1076 ; 297 ; 537 ; 566 ; 274 ; 262 ; 339 ; 403 ; 780 ; 430 ; 346 ; 260 ; 515 ; 892 ; 1147 ; 482 ; 815 ; 455 ; 680 ; 424 ; 1278 
20-Feb;CASA; 458 ; 394 ; 477 ; 242 ; 293 ; 428 ; 315 ; 411 ; 392 ; 1082 ; 296 ; 536 ; 568 ; 280 ; 264 ; 341 ; 428 ; 776 ; 430 ; 350 ; 268 ; 525 ; 904 ; 1146 ; 503 ; 826 ; 543 ; 696 ; 428 ; 1284 
21-Feb;CASA; 456 ; 394 ; 479 ; 242 ; 289 ; 420 ; 314 ; 410 ; 391 ; 1085 ; 296 ; 536 ; 568 ; 278 ; 264 ; 344 ; 428 ; 774 ; 424 ; 348 ; 265 ; 531 ; 901 ; 1149 ; 501 ; 824 ; 545 ; 694 ; 432 ; 1280 
