Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 612 ; 336 ; 1.184 ; 2.132 
25; KC Garut (Konsolidasi-MB); 105 ; 89 ; 507 ; 700 
28; KC Indramayu (Konsolidasi-MB); 103 ; 109 ; 409 ; 621 
46; KC Majalengka (Konsolidasi-MB); 63 ; 42 ; 248 ; 352 
75; KC Purwakarta (Konsolidasi-MB); 84 ; 82 ; 275 ; 442 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 91 ; 346 ; 501 
94; KC Sumedang (Konsolidasi-MB); 88 ; 70 ; 342 ; 500 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 115 ; 440 ; 648 
104; KC Ciamis (Konsolidasi-MB); 51 ; 56 ; 226 ; 333 
105; KC Cianjur (Konsolidasi-MB); 157 ; 67 ; 418 ; 642 
107; KC Cirebon Kartini (Konsolidasi-MB); 526 ; 215 ; 1.054 ; 1.795 
123; KC Subang (Konsolidasi-MB); 72 ; 157 ; 243 ; 472 
132; KC Majalaya (Konsolidasi-MB); 97 ; 71 ; 268 ; 436 
133; KC Kuningan (Konsolidasi-MB); 173 ; 70 ; 365 ; 608 
137; KC Cimahi (Konsolidasi-MB); 369 ; 401 ; 1.183 ; 1.953 
161; KC Singaparna (Konsolidasi-MB); 126 ; 44 ; 235 ; 406 
162; KC Banjar (Konsolidasi-MB); 50 ; 52 ; 219 ; 320 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 36 ; 214 ; 298 
181; KC Cibadak (Konsolidasi-MB); 79 ; 83 ; 275 ; 438 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.162 ; 327 ; 1.086 ; 2.575 
337; KC Bandung Naripan (Konsolidasi-MB); 229 ; 254 ; 483 ; 966 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 516 ; 241 ; 758 ; 1.515 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 128 ; 204 ; 397 
389; KC Bandung Martadinata (Konsolidasi-MB); 455 ; 166 ; 313 ; 934 
401; KC Bandung Kopo (Konsolidasi-MB); 551 ; 220 ; 463 ; 1.234 
405; KC Bandung Dago (Konsolidasi-MB); 389 ; 262 ; 583 ; 1.234 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 141 ; 88 ; 378 ; 607 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 471 ; 228 ; 420 ; 1.119 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 94 ; 402 ; 725 
544; KC Soreang (Konsolidasi-MB); 102 ; 43 ; 281 ; 426 
Grand Total;Grand Total; 7.272 ; 4.237 ; 13.822 ; 25.331 
