kode bo;nama bo; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 251 ; 353 ; 1.138 ; 1.742 
25; KC Garut (Konsolidasi; 91 ; 109 ; 484 ; 685 
28; KC Indramayu (Konsolidasi; 102 ; 89 ; 432 ; 623 
46; KC Majalengka (Konsolidasi; 50 ; 57 ; 276 ; 383 
75; KC Purwakarta (Konsolidasi; 100 ; 197 ; 284 ; 581 
92; KC Sukabumi (Konsolidasi; 68 ; 86 ; 374 ; 529 
94; KC Sumedang (Konsolidasi; 85 ; 58 ; 361 ; 504 
100; KC Tasikmalaya (Konsolidasi; 77 ; 140 ; 448 ; 666 
104; KC Ciamis (Konsolidasi; 31 ; 57 ; 221 ; 309 
105; KC Cianjur (Konsolidasi; 234 ; 58 ; 415 ; 707 
107; KC Cirebon Kartini (Konsolidasi; 433 ; 232 ; 1.073 ; 1.738 
123; KC Subang (Konsolidasi; 68 ; 176 ; 285 ; 529 
132; KC Majalaya (Konsolidasi; 207 ; 33 ; 266 ; 506 
133; KC Kuningan (Konsolidasi; 147 ; 80 ; 357 ; 584 
137; KC Cimahi (Konsolidasi; 430 ; 107 ; 742 ; 1.279 
161; KC Singaparna (Konsolidasi; 130 ; 63 ; 257 ; 450 
162; KC Banjar (Konsolidasi; 49 ; 61 ; 221 ; 331 
165; KC Jatibarang (Konsolidasi; 50 ; 41 ; 214 ; 306 
181; KC Cibadak (Konsolidasi; 80 ; 75 ; 282 ; 437 
198; KANWIL Bandung (Konsolidasi;;; - ; - 
286; KC Bandung Dewi Sartika (Konsolidasi; 311 ; 278 ; 971 ; 1.560 
337; KC Bandung Naripan (Konsolidasi; 181 ; 221 ; 578 ; 980 
354; KC Bandung A.H. Nasution (Konsolidasi; 347 ; 183 ; 863 ; 1.393 
355; KC Pamanukan (Konsolidasi; 61 ; 93 ; 213 ; 367 
389; KC Bandung Martadinata (Konsolidasi; 161 ; 400 ; 349 ; 911 
401; KC Bandung Kopo (Konsolidasi; 535 ; 145 ; 424 ; 1.104 
405; KC Bandung Dago (Konsolidasi; 323 ; 210 ; 607 ; 1.139 
406; KC Cirebon Gunung Jati (Konsolidasi; 100 ; 77 ; 406 ; 584 
407; KC Bandung Sukarno Hatta (Konsolidasi; 258 ; 147 ; 460 ; 865 
408; KC Bandung Setiabudi (Konsolidasi; 219 ; 93 ; 411 ; 722 
544; KC Soreang (Konsolidasi; 88 ; 49 ; 281 ; 418 
Grand Total;; 5.267 ; 3.969 ; 13.694 ; 22.929 
