UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
13-Apr;DPK; 565 ; 488 ; 627 ; 334 ; 374 ; 496 ; 408 ; 529 ; 526 ; 1612 ; 441 ; 652 ; 663 ; 308 ; 313 ; 444 ; 481 ; 1255 ; 689 ; 420 ; 490 ; 748 ; 1342 ; 1560 ; 706 ; 988 ; 950 ; 1077 ; 833 ; 1809 
14-Apr;DPK; 561 ; 492 ; 610 ; 331 ; 383 ; 489 ; 406 ; 524 ; 536 ; 1604 ; 440 ; 651 ; 658 ; 313 ; 314 ; 430 ; 482 ; 1254 ; 688 ; 414 ; 492 ; 734 ; 1334 ; 1538 ; 708 ; 995 ; 914 ; 1069 ; 830 ; 1797 
15-Apr;DPK; 551 ; 500 ; 600 ; 332 ; 367 ; 492 ; 404 ; 515 ; 534 ; 1609 ; 443 ; 649 ; 656 ; 306 ; 317 ; 449 ; 484 ; 1248 ; 686 ; 409 ; 490 ; 737 ; 1328 ; 1560 ; 704 ; 993 ; 1000 ; 1063 ; 827 ; 1779 
16-Apr;DPK; 544 ; 523 ; 601 ; 330 ; 363 ; 488 ; 403 ; 525 ; 529 ; 1619 ; 441 ; 667 ; 668 ; 308 ; 309 ; 440 ; 486 ; 1245 ; 682 ; 408 ; 490 ; 738 ; 1326 ; 1567 ; 703 ; 987 ; 1000 ; 1063 ; 832 ; 1795 
17-Apr;DPK; 541 ; 497 ; 614 ; 331 ; 364 ; 487 ; 406 ; 531 ; 535 ; 1636 ; 444 ; 663 ; 663 ; 311 ; 310 ; 442 ; 484 ; 1248 ; 687 ; 408 ; 494 ; 743 ; 1335 ; 1557 ; 705 ; 980 ; 1041 ; 1080 ; 886 ; 1783 
18-Apr;DPK; 538 ; 496 ; 613 ; 328 ; 364 ; 484 ; 411 ; 532 ; 533 ; 1639 ; 440 ; 665 ; 659 ; 310 ; 312 ; 441 ; 482 ; 1243 ; 683 ; 407 ; 491 ; 745 ; 1336 ; 1557 ; 704 ; 969 ; 1051 ; 1076 ; 885 ; 1782 
19-Apr;DPK; 538 ; 495 ; 609 ; 319 ; 364 ; 485 ; 410 ; 530 ; 533 ; 1643 ; 441 ; 669 ; 659 ; 309 ; 313 ; 440 ; 481 ; 1241 ; 682 ; 406 ; 490 ; 753 ; 1337 ; 1560 ; 701 ; 967 ; 1054 ; 1075 ; 887 ; 1780 
20-Apr;DPK; 553 ; 498 ; 605 ; 316 ; 359 ; 480 ; 413 ; 528 ; 528 ; 1629 ; 438 ; 697 ; 672 ; 307 ; 314 ; 440 ; 475 ; 1240 ; 680 ; 405 ; 491 ; 750 ; 1318 ; 1541 ; 703 ; 973 ; 1023 ; 1062 ; 881 ; 1790 
21-Apr;DPK; 558 ; 495 ; 598 ; 306 ; 363 ; 482 ; 409 ; 524 ; 524 ; 1613 ; 438 ; 691 ; 656 ; 313 ; 317 ; 412 ; 471 ; 1238 ; 684 ; 409 ; 489 ; 760 ; 1311 ; 1489 ; 687 ; 966 ; 1005 ; 1062 ; 848 ; 1776 
22-Apr;DPK; 550 ; 500 ; 594 ; 309 ; 363 ; 480 ; 381 ; 524 ; 522 ; 1618 ; 438 ; 686 ; 648 ; 311 ; 323 ; 415 ; 476 ; 1236 ; 685 ; 406 ; 489 ; 749 ; 1311 ; 1457 ; 686 ; 971 ; 996 ; 1058 ; 855 ; 1771 
23-Apr;DPK; 548 ; 498 ; 619 ; 303 ; 365 ; 478 ; 381 ; 537 ; 527 ; 1617 ; 440 ; 677 ; 647 ; 305 ; 316 ; 412 ; 477 ; 1238 ; 684 ; 404 ; 487 ; 756 ; 1312 ; 1430 ; 680 ; 978 ; 1006 ; 1065 ; 698 ; 1746 
24-Apr;DPK; 558 ; 505 ; 629 ; 307 ; 370 ; 479 ; 380 ; 541 ; 531 ; 1632 ; 445 ; 677 ; 648 ; 308 ; 324 ; 416 ; 495 ; 1242 ; 687 ; 406 ; 493 ; 744 ; 1330 ; 1426 ; 695 ; 970 ; 1036 ; 1078 ; 851 ; 1768 
