Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 612 ; 342 ; 1.182 ; 2.136 
25; KC Garut (Konsolidasi-MB); 104 ; 118 ; 508 ; 731 
28; KC Indramayu (Konsolidasi-MB); 103 ; 106 ; 416 ; 625 
46; KC Majalengka (Konsolidasi-MB); 63 ; 43 ; 243 ; 348 
75; KC Purwakarta (Konsolidasi-MB); 84 ; 92 ; 274 ; 450 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 81 ; 316 ; 461 
94; KC Sumedang (Konsolidasi-MB); 88 ; 69 ; 346 ; 504 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 108 ; 438 ; 640 
104; KC Ciamis (Konsolidasi-MB); 51 ; 53 ; 226 ; 330 
105; KC Cianjur (Konsolidasi-MB); 156 ; 56 ; 422 ; 634 
107; KC Cirebon Kartini (Konsolidasi-MB); 525 ; 197 ; 1.061 ; 1.783 
123; KC Subang (Konsolidasi-MB); 72 ; 159 ; 247 ; 478 
132; KC Majalaya (Konsolidasi-MB); 98 ; 20 ; 270 ; 388 
133; KC Kuningan (Konsolidasi-MB); 174 ; 69 ; 368 ; 611 
137; KC Cimahi (Konsolidasi-MB); 370 ; 421 ; 1.185 ; 1.977 
161; KC Singaparna (Konsolidasi-MB); 126 ; 42 ; 235 ; 404 
162; KC Banjar (Konsolidasi-MB); 54 ; 55 ; 218 ; 327 
165; KC Jatibarang (Konsolidasi-MB); 48 ; 38 ; 221 ; 307 
181; KC Cibadak (Konsolidasi-MB); 79 ; 85 ; 273 ; 438 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.165 ; 334 ; 812 ; 2.311 
337; KC Bandung Naripan (Konsolidasi-MB); 234 ; 247 ; 488 ; 970 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 516 ; 245 ; 746 ; 1.507 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 126 ; 201 ; 391 
389; KC Bandung Martadinata (Konsolidasi-MB); 599 ; 285 ; 311 ; 1.195 
401; KC Bandung Kopo (Konsolidasi-MB); 531 ; 213 ; 438 ; 1.183 
405; KC Bandung Dago (Konsolidasi-MB); 387 ; 230 ; 566 ; 1.183 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 141 ; 82 ; 367 ; 590 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 440 ; 297 ; 370 ; 1.108 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 94 ; 398 ; 722 
544; KC Soreang (Konsolidasi-MB); 102 ; 41 ; 266 ; 409 
Grand Total;Grand Total; 7.374 ; 4.350 ; 13.413 ; 25.138 
