Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 614 ; 335 ; 1.216 ; 2.165 
25; KC Garut (Konsolidasi-MB); 105 ; 85 ; 508 ; 698 
28; KC Indramayu (Konsolidasi-MB); 103 ; 110 ; 416 ; 628 
46; KC Majalengka (Konsolidasi-MB); 63 ; 43 ; 245 ; 350 
75; KC Purwakarta (Konsolidasi-MB); 84 ; 86 ; 280 ; 450 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 89 ; 326 ; 479 
94; KC Sumedang (Konsolidasi-MB); 89 ; 67 ; 346 ; 502 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 104 ; 442 ; 639 
104; KC Ciamis (Konsolidasi-MB); 51 ; 54 ; 225 ; 330 
105; KC Cianjur (Konsolidasi-MB); 157 ; 69 ; 413 ; 639 
107; KC Cirebon Kartini (Konsolidasi-MB); 525 ; 210 ; 1.061 ; 1.796 
123; KC Subang (Konsolidasi-MB); 72 ; 163 ; 248 ; 483 
132; KC Majalaya (Konsolidasi-MB); 97 ; 70 ; 269 ; 437 
133; KC Kuningan (Konsolidasi-MB); 173 ; 71 ; 372 ; 616 
137; KC Cimahi (Konsolidasi-MB); 370 ; 412 ; 1.187 ; 1.969 
161; KC Singaparna (Konsolidasi-MB); 126 ; 39 ; 239 ; 405 
162; KC Banjar (Konsolidasi-MB); 50 ; 55 ; 219 ; 324 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 37 ; 215 ; 301 
181; KC Cibadak (Konsolidasi-MB); 79 ; 79 ; 285 ; 443 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.161 ; 324 ; 1.092 ; 2.578 
337; KC Bandung Naripan (Konsolidasi-MB); 234 ; 257 ; 484 ; 975 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 507 ; 253 ; 758 ; 1.517 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 146 ; 206 ; 417 
389; KC Bandung Martadinata (Konsolidasi-MB); 455 ; 195 ; 317 ; 967 
401; KC Bandung Kopo (Konsolidasi-MB); 551 ; 195 ; 466 ; 1.212 
405; KC Bandung Dago (Konsolidasi-MB); 389 ; 247 ; 567 ; 1.204 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 141 ; 83 ; 386 ; 610 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 470 ; 220 ; 420 ; 1.110 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 96 ; 404 ; 730 
544; KC Soreang (Konsolidasi-MB); 100 ; 48 ; 286 ; 433 
Grand Total;Grand Total; 7.268 ; 4.242 ; 13.899 ; 25.409 
