Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 614 ; 342 ; 1.241 ; 2.196 
25; KC Garut (Konsolidasi-MB); 103 ; 132 ; 511 ; 745 
28; KC Indramayu (Konsolidasi-MB); 103 ; 84 ; 421 ; 608 
46; KC Majalengka (Konsolidasi-MB); 62 ; 44 ; 251 ; 358 
75; KC Purwakarta (Konsolidasi-MB); 93 ; 97 ; 318 ; 508 
92; KC Sukabumi (Konsolidasi-MB); 59 ; 84 ; 345 ; 488 
94; KC Sumedang (Konsolidasi-MB); 87 ; 67 ; 368 ; 522 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 111 ; 439 ; 643 
104; KC Ciamis (Konsolidasi-MB); 50 ; 58 ; 235 ; 343 
105; KC Cianjur (Konsolidasi-MB); 161 ; 71 ; 431 ; 663 
107; KC Cirebon Kartini (Konsolidasi-MB); 513 ; 208 ; 1.083 ; 1.803 
123; KC Subang (Konsolidasi-MB); 72 ; 167 ; 272 ; 511 
132; KC Majalaya (Konsolidasi-MB); 97 ; 31 ; 280 ; 408 
133; KC Kuningan (Konsolidasi-MB); 173 ; 75 ; 382 ; 630 
137; KC Cimahi (Konsolidasi-MB); 372 ; 444 ; 1.275 ; 2.091 
161; KC Singaparna (Konsolidasi-MB); 127 ; 40 ; 249 ; 416 
162; KC Banjar (Konsolidasi-MB); 52 ; 65 ; 224 ; 340 
165; KC Jatibarang (Konsolidasi-MB); 49 ; 28 ; 216 ; 292 
181; KC Cibadak (Konsolidasi-MB); 76 ; 96 ; 289 ; 461 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.158 ; 333 ; 1.092 ; 2.583 
337; KC Bandung Naripan (Konsolidasi-MB); 213 ; 254 ; 561 ; 1.029 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 519 ; 238 ; 831 ; 1.588 
355; KC Pamanukan (Konsolidasi-MB); 64 ; 146 ; 220 ; 430 
389; KC Bandung Martadinata (Konsolidasi-MB); 468 ; 220 ; 322 ; 1.010 
401; KC Bandung Kopo (Konsolidasi-MB); 576 ; 233 ; 444 ; 1.253 
405; KC Bandung Dago (Konsolidasi-MB); 384 ; 249 ; 640 ; 1.273 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 136 ; 93 ; 411 ; 640 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 500 ; 340 ; 433 ; 1.273 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 100 ; 428 ; 758 
544; KC Soreang (Konsolidasi-MB); 119 ; 56 ; 294 ; 468 
Grand Total;Grand Total; 7.322 ; 4.505 ; 14.503 ; 26.330 
