Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 611 ; 350 ; 1.199 ; 2.159 
25; KC Garut (Konsolidasi-MB); 103 ; 88 ; 515 ; 706 
28; KC Indramayu (Konsolidasi-MB); 103 ; 95 ; 423 ; 622 
46; KC Majalengka (Konsolidasi-MB); 63 ; 43 ; 239 ; 345 
75; KC Purwakarta (Konsolidasi-MB); 91 ; 88 ; 279 ; 459 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 84 ; 320 ; 468 
94; KC Sumedang (Konsolidasi-MB); 88 ; 65 ; 350 ; 503 
100; KC Tasikmalaya (Konsolidasi-MB); 93 ; 111 ; 442 ; 646 
104; KC Ciamis (Konsolidasi-MB); 51 ; 56 ; 224 ; 331 
105; KC Cianjur (Konsolidasi-MB); 156 ; 52 ; 423 ; 631 
107; KC Cirebon Kartini (Konsolidasi-MB); 525 ; 201 ; 1.061 ; 1.787 
123; KC Subang (Konsolidasi-MB); 72 ; 157 ; 252 ; 481 
132; KC Majalaya (Konsolidasi-MB); 98 ; 19 ; 270 ; 387 
133; KC Kuningan (Konsolidasi-MB); 174 ; 72 ; 369 ; 616 
137; KC Cimahi (Konsolidasi-MB); 366 ; 403 ; 1.201 ; 1.970 
161; KC Singaparna (Konsolidasi-MB); 126 ; 51 ; 235 ; 412 
162; KC Banjar (Konsolidasi-MB); 57 ; 51 ; 215 ; 323 
165; KC Jatibarang (Konsolidasi-MB); 48 ; 28 ; 219 ; 295 
181; KC Cibadak (Konsolidasi-MB); 80 ; 97 ; 273 ; 450 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.124 ; 363 ; 813 ; 2.301 
337; KC Bandung Naripan (Konsolidasi-MB); 239 ; 236 ; 486 ; 961 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 516 ; 262 ; 749 ; 1.527 
355; KC Pamanukan (Konsolidasi-MB); 59 ; 131 ; 208 ; 398 
389; KC Bandung Martadinata (Konsolidasi-MB); 592 ; 284 ; 309 ; 1.185 
401; KC Bandung Kopo (Konsolidasi-MB); 531 ; 119 ; 461 ; 1.111 
405; KC Bandung Dago (Konsolidasi-MB); 391 ; 224 ; 574 ; 1.189 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 142 ; 77 ; 369 ; 587 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 440 ; 250 ; 427 ; 1.117 
408; KC Bandung Setiabudi (Konsolidasi-MB); 229 ; 99 ; 396 ; 724 
544; KC Soreang (Konsolidasi-MB); 118 ; 41 ; 258 ; 417 
Grand Total;Grand Total; 7.349 ; 4.199 ; 13.561 ; 25.108 
