kode bo;nama bo; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi; 251 ; 373 ; 1.114 ; 1.738 
25; KC Garut (Konsolidasi; 91 ; 94 ; 474 ; 659 
28; KC Indramayu (Konsolidasi; 102 ; 89 ; 435 ; 627 
46; KC Majalengka (Konsolidasi; 49 ; 54 ; 273 ; 376 
75; KC Purwakarta (Konsolidasi; 99 ; 191 ; 274 ; 564 
92; KC Sukabumi (Konsolidasi; 72 ; 79 ; 317 ; 468 
94; KC Sumedang (Konsolidasi; 85 ; 55 ; 349 ; 489 
100; KC Tasikmalaya (Konsolidasi; 78 ; 148 ; 442 ; 668 
104; KC Ciamis (Konsolidasi; 31 ; 52 ; 222 ; 305 
105; KC Cianjur (Konsolidasi; 232 ; 51 ; 388 ; 670 
107; KC Cirebon Kartini (Konsolidasi; 433 ; 236 ; 945 ; 1.613 
123; KC Subang (Konsolidasi; 68 ; 173 ; 277 ; 519 
132; KC Majalaya (Konsolidasi; 206 ; 21 ; 259 ; 485 
133; KC Kuningan (Konsolidasi; 147 ; 65 ; 359 ; 571 
137; KC Cimahi (Konsolidasi; 432 ; 108 ; 712 ; 1.252 
161; KC Singaparna (Konsolidasi; 130 ; 64 ; 250 ; 444 
162; KC Banjar (Konsolidasi; 49 ; 54 ; 220 ; 323 
165; KC Jatibarang (Konsolidasi; 50 ; 38 ; 217 ; 306 
181; KC Cibadak (Konsolidasi; 80 ; 63 ; 261 ; 403 
198; KANWIL Bandung (Konsolidasi;;; - ; - 
286; KC Bandung Dewi Sartika (Konsolidasi; 311 ; 311 ; 834 ; 1.455 
337; KC Bandung Naripan (Konsolidasi; 178 ; 228 ; 555 ; 962 
354; KC Bandung A.H. Nasution (Konsolidasi; 347 ; 194 ; 826 ; 1.367 
355; KC Pamanukan (Konsolidasi; 63 ; 108 ; 212 ; 383 
389; KC Bandung Martadinata (Konsolidasi; 161 ; 369 ; 331 ; 862 
401; KC Bandung Kopo (Konsolidasi; 534 ; 97 ; 417 ; 1.048 
405; KC Bandung Dago (Konsolidasi; 321 ; 205 ; 579 ; 1.105 
406; KC Cirebon Gunung Jati (Konsolidasi; 101 ; 72 ; 380 ; 553 
407; KC Bandung Sukarno Hatta (Konsolidasi; 239 ; 125 ; 376 ; 740 
408; KC Bandung Setiabudi (Konsolidasi; 218 ; 87 ; 395 ; 701 
544; KC Soreang (Konsolidasi; 88 ; 65 ; 255 ; 408 
Grand Total;; 5.246 ; 3.871 ; 12.947 ; 22.064 
