Rows L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;359;253;985;1.597
25; KC Garut (Konsolidasi;151;110;468;730
28; KC Indramayu (Konsolidasi;112;73;409;594
46; KC Majalengka (Konsolidasi;49;95;216;360
75; KC Purwakarta (Konsolidasi;91;162;281;534
92; KC Sukabumi (Konsolidasi;72;89;323;485
94; KC Sumedang (Konsolidasi;71;61;361;493
100; KC Tasikmalaya (Konsolidasi;75;102;420;596
104; KC Ciamis (Konsolidasi;32;68;207;307
105; KC Cianjur (Konsolidasi;159;52;366;577
107; KC Cirebon Kartini (Konsolidasi;417;241;727;1.385
123; KC Subang (Konsolidasi;72;130;252;454
132; KC Majalaya (Konsolidasi;56;29;241;325
133; KC Kuningan (Konsolidasi;132;57;332;521
137; KC Cimahi (Konsolidasi;471;104;699;1.273
161; KC Singaparna (Konsolidasi;142;48;251;441
162; KC Banjar (Konsolidasi;53;64;198;315
165; KC Jatibarang (Konsolidasi;51;30;216;297
181; KC Cibadak (Konsolidasi;78;77;249;405
286; KC Bandung Dewi Sartika (Konsolidasi;323;280;775;1.378
337; KC Bandung Naripan (Konsolidasi;179;304;521;1.004
354; KC Bandung A.H. Nasution (Konsolidasi;328;205;699;1.232
355; KC Pamanukan (Konsolidasi;66;90;216;372
389; KC Bandung Martadinata (Konsolidasi;164;106;321;591
401; KC Bandung Kopo (Konsolidasi;534;82;432;1.048
405; KC Bandung Dago (Konsolidasi;347;160;507;1.015
406; KC Cirebon Gunung Jati (Konsolidasi;117;81;328;526
407; KC Bandung Sukarno Hatta (Konsolidasi;201;151;378;731
408; KC Bandung Setiabudi (Konsolidasi;236;106;398;741
544; KC Soreang (Konsolidasi;91;87;265;443
