Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 615 ; 329 ; 1.201 ; 2.145 
25; KC Garut (Konsolidasi-MB); 105 ; 170 ; 506 ; 780 
28; KC Indramayu (Konsolidasi-MB); 103 ; 89 ; 414 ; 605 
46; KC Majalengka (Konsolidasi-MB); 62 ; 43 ; 243 ; 348 
75; KC Purwakarta (Konsolidasi-MB); 83 ; 97 ; 302 ; 482 
92; KC Sukabumi (Konsolidasi-MB); 64 ; 85 ; 363 ; 512 
94; KC Sumedang (Konsolidasi-MB); 89 ; 67 ; 345 ; 501 
100; KC Tasikmalaya (Konsolidasi-MB); 94 ; 114 ; 434 ; 641 
104; KC Ciamis (Konsolidasi-MB); 51 ; 55 ; 227 ; 332 
105; KC Cianjur (Konsolidasi-MB); 161 ; 68 ; 408 ; 637 
107; KC Cirebon Kartini (Konsolidasi-MB); 525 ; 257 ; 1.059 ; 1.841 
123; KC Subang (Konsolidasi-MB); 72 ; 164 ; 255 ; 491 
132; KC Majalaya (Konsolidasi-MB); 97 ; 23 ; 273 ; 393 
133; KC Kuningan (Konsolidasi-MB); 173 ; 75 ; 371 ; 619 
137; KC Cimahi (Konsolidasi-MB); 371 ; 410 ; 1.182 ; 1.963 
161; KC Singaparna (Konsolidasi-MB); 126 ; 41 ; 243 ; 410 
162; KC Banjar (Konsolidasi-MB); 52 ; 58 ; 214 ; 323 
165; KC Jatibarang (Konsolidasi-MB); 48 ; 26 ; 218 ; 293 
181; KC Cibadak (Konsolidasi-MB); 76 ; 86 ; 293 ; 455 
198; KANWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 1.162 ; 318 ; 1.073 ; 2.554 
337; KC Bandung Naripan (Konsolidasi-MB); 240 ; 268 ; 506 ; 1.014 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 514 ; 260 ; 809 ; 1.583 
355; KC Pamanukan (Konsolidasi-MB); 65 ; 142 ; 206 ; 412 
389; KC Bandung Martadinata (Konsolidasi-MB); 463 ; 177 ; 341 ; 981 
401; KC Bandung Kopo (Konsolidasi-MB); 550 ; 187 ; 461 ; 1.198 
405; KC Bandung Dago (Konsolidasi-MB); 392 ; 265 ; 592 ; 1.249 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 138 ; 94 ; 387 ; 620 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 469 ; 241 ; 419 ; 1.129 
408; KC Bandung Setiabudi (Konsolidasi-MB); 230 ; 99 ; 422 ; 752 
544; KC Soreang (Konsolidasi-MB); 115 ; 52 ; 288 ; 455 
Grand Total;Grand Total; 7.304 ; 4.359 ; 14.054 ; 25.717 
