UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
19-Dec;DEPO; 92 ; 74 ; 116 ; 49 ; 63 ; 75 ; 50 ; 119 ; 132 ; 432 ; 144 ; 77 ; 169 ; 27 ; 48 ; 83 ; 71 ; 481 ; 160 ; 92 ; 57 ; 232 ; 314 ; 205 ; 247 ; 187 ; 551 ; 349 ; 166 ; 344 
20-Dec;DEPO; 92 ; 74 ; 116 ; 50 ; 63 ; 75 ; 50 ; 119 ; 132 ; 432 ; 144 ; 77 ; 169 ; 27 ; 48 ; 83 ; 71 ; 481 ; 160 ; 92 ; 56 ; 232 ; 314 ; 205 ; 246 ; 187 ; 551 ; 349 ; 166 ; 344 
21-Dec;DEPO; 92 ; 74 ; 116 ; 50 ; 63 ; 75 ; 50 ; 119 ; 132 ; 432 ; 144 ; 78 ; 169 ; 27 ; 48 ; 83 ; 71 ; 481 ; 160 ; 92 ; 56 ; 232 ; 314 ; 205 ; 246 ; 187 ; 551 ; 348 ; 166 ; 344 
22-Dec;DEPO; 92 ; 73 ; 117 ; 50 ; 63 ; 75 ; 50 ; 119 ; 132 ; 411 ; 144 ; 78 ; 169 ; 27 ; 48 ; 81 ; 71 ; 481 ; 160 ; 92 ; 56 ; 232 ; 314 ; 212 ; 246 ; 188 ; 551 ; 348 ; 166 ; 345 
23-Dec;DEPO; 92 ; 73 ; 117 ; 51 ; 62 ; 75 ; 50 ; 121 ; 132 ; 411 ; 144 ; 78 ; 169 ; 27 ; 48 ; 81 ; 70 ; 480 ; 160 ; 91 ; 55 ; 233 ; 314 ; 212 ; 246 ; 177 ; 551 ; 347 ; 166 ; 345 
24-Dec;DEPO; 92 ; 74 ; 116 ; 51 ; 62 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 78 ; 152 ; 27 ; 48 ; 81 ; 70 ; 483 ; 160 ; 92 ; 58 ; 233 ; 314 ; 209 ; 246 ; 176 ; 551 ; 340 ; 165 ; 345 
25-Dec;DEPO; 92 ; 74 ; 116 ; 51 ; 63 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 78 ; 152 ; 27 ; 48 ; 80 ; 70 ; 483 ; 160 ; 92 ; 58 ; 232 ; 314 ; 209 ; 246 ; 176 ; 551 ; 340 ; 165 ; 344 
26-Dec;DEPO; 92 ; 73 ; 116 ; 51 ; 63 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 78 ; 152 ; 27 ; 48 ; 80 ; 70 ; 483 ; 160 ; 92 ; 58 ; 232 ; 314 ; 209 ; 246 ; 176 ; 551 ; 340 ; 165 ; 344 
27-Dec;DEPO; 92 ; 73 ; 116 ; 51 ; 63 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 78 ; 153 ; 27 ; 48 ; 80 ; 70 ; 483 ; 160 ; 92 ; 58 ; 232 ; 314 ; 209 ; 246 ; 176 ; 551 ; 340 ; 165 ; 345 
28-Dec;DEPO; 92 ; 73 ; 116 ; 51 ; 63 ; 75 ; 50 ; 119 ; 133 ; 411 ; 144 ; 78 ; 153 ; 27 ; 48 ; 80 ; 70 ; 483 ; 160 ; 92 ; 58 ; 231 ; 314 ; 209 ; 246 ; 176 ; 551 ; 341 ; 165 ; 344 
