Row Labels;Row Labels; Deposito ; Giro ; Tabungan ; Grand Total 
5; KC Bandung AA (Konsolidasi-MB); 253 ; 350 ; 1.104 ; 1.707 
25; KC Garut (Konsolidasi-MB); 94 ; 97 ; 499 ; 690 
28; KC Indramayu (Konsolidasi-MB); 102 ; 94 ; 421 ; 618 
46; KC Majalengka (Konsolidasi-MB); 50 ; 53 ; 253 ; 355 
75; KC Purwakarta (Konsolidasi-MB); 99 ; 191 ; 265 ; 556 
92; KC Sukabumi (Konsolidasi-MB); 67 ; 79 ; 341 ; 487 
94; KC Sumedang (Konsolidasi-MB); 90 ; 57 ; 338 ; 486 
100; KC Tasikmalaya (Konsolidasi-MB); 78 ; 139 ; 460 ; 677 
104; KC Ciamis (Konsolidasi-MB); 29 ; 54 ; 227 ; 310 
105; KC Cianjur (Konsolidasi-MB); 231 ; 54 ; 390 ; 674 
107; KC Cirebon Kartini (Konsolidasi-MB); 440 ; 240 ; 978 ; 1.658 
123; KC Subang (Konsolidasi-MB); 68 ; 165 ; 264 ; 497 
132; KC Majalaya (Konsolidasi-MB); 47 ; 22 ; 251 ; 320 
133; KC Kuningan (Konsolidasi-MB); 148 ; 58 ; 323 ; 529 
137; KC Cimahi (Konsolidasi-MB); 423 ; 109 ; 719 ; 1.251 
161; KC Singaparna (Konsolidasi-MB); 129 ; 66 ; 254 ; 450 
162; KC Banjar (Konsolidasi-MB); 49 ; 58 ; 235 ; 342 
165; KC Jatibarang (Konsolidasi-MB); 51 ; 30 ; 209 ; 289 
181; KC Cibadak (Konsolidasi-MB); 79 ; 65 ; 275 ; 419 
198; KANWIL Bandung (Konsolidasi-MB);;; -   ; -   
286; KC Bandung Dewi Sartika (Konsolidasi-MB); 315 ; 256 ; 854 ; 1.426 
337; KC Bandung Naripan (Konsolidasi-MB); 178 ; 212 ; 525 ; 916 
354; KC Bandung A.H. Nasution (Konsolidasi-MB); 338 ; 176 ; 787 ; 1.302 
355; KC Pamanukan (Konsolidasi-MB); 60 ; 88 ; 217 ; 365 
389; KC Bandung Martadinata (Konsolidasi-MB); 164 ; 370 ; 336 ; 870 
401; KC Bandung Kopo (Konsolidasi-MB); 634 ; 155 ; 431 ; 1.220 
405; KC Bandung Dago (Konsolidasi-MB); 326 ; 249 ; 564 ; 1.139 
406; KC Cirebon Gunung Jati (Konsolidasi-MB); 100 ; 71 ; 354 ; 525 
407; KC Bandung Sukarno Hatta (Konsolidasi-MB); 255 ; 164 ; 388 ; 807 
408; KC Bandung Setiabudi (Konsolidasi-MB); 219 ; 86 ; 365 ; 671 
544; KC Soreang (Konsolidasi-MB); 86 ; 43 ; 270 ; 398 
Grand Total;Grand Total; 5.203 ; 3.850 ; 12.900 ; 21.953 
