UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
17-Jan;GIRO; 176 ; 93 ; 97 ; 33 ; 68 ; 66 ; 97 ; 105 ; 60 ; 261 ; 49 ; 107 ; 119 ; 76 ; 61 ; 95 ; 90 ; 182 ; 68 ; 70 ; 20 ; 192 ; 163 ; 2.989 ; 110 ; 296 ; 106 ; 214 ; 123 ; 4.652 
18-Jan;GIRO; 176 ; 95 ; 96 ; 33 ; 68 ; 67 ; 97 ; 105 ; 60 ; 261 ; 49 ; 107 ; 119 ; 75 ; 60 ; 95 ; 90 ; 178 ; 67 ; 71 ; 20 ; 191 ; 165 ; 3.003 ; 110 ; 296 ; 107 ; 213 ; 124 ; 4.703 
19-Jan;GIRO; 177 ; 96 ; 95 ; 33 ; 68 ; 67 ; 97 ; 104 ; 59 ; 261 ; 49 ; 106 ; 119 ; 75 ; 61 ; 94 ; 90 ; 175 ; 67 ; 72 ; 20 ; 190 ; 166 ; 3.015 ; 110 ; 295 ; 106 ; 212 ; 124 ; 4.753 
20-Jan;GIRO; 178 ; 97 ; 95 ; 33 ; 68 ; 68 ; 97 ; 104 ; 59 ; 261 ; 48 ; 106 ; 119 ; 75 ; 61 ; 94 ; 90 ; 172 ; 66 ; 72 ; 20 ; 189 ; 168 ; 3.036 ; 110 ; 295 ; 106 ; 211 ; 124 ; 4.794 
21-Jan;GIRO; 178 ; 99 ; 95 ; 33 ; 68 ; 68 ; 97 ; 104 ; 59 ; 261 ; 48 ; 106 ; 118 ; 75 ; 61 ; 94 ; 90 ; 168 ; 66 ; 72 ; 20 ; 189 ; 169 ; 3.084 ; 110 ; 295 ; 105 ; 211 ; 124 ; 4.822 
22-Jan;GIRO; 178 ; 100 ; 95 ; 33 ; 68 ; 69 ; 97 ; 103 ; 59 ; 261 ; 48 ; 107 ; 118 ; 75 ; 60 ; 94 ; 90 ; 166 ; 65 ; 72 ; 20 ; 188 ; 170 ; 3.104 ; 110 ; 296 ; 104 ; 211 ; 124 ; 4.841 
23-Jan;GIRO; 178 ; 101 ; 95 ; 33 ; 68 ; 69 ; 96 ; 103 ; 59 ; 262 ; 48 ; 107 ; 118 ; 75 ; 61 ; 93 ; 90 ; 163 ; 65 ; 73 ; 21 ; 187 ; 171 ; 3.105 ; 109 ; 297 ; 103 ; 212 ; 124 ; 4.845 
24-Jan;GIRO; 178 ; 102 ; 94 ; 33 ; 68 ; 69 ; 96 ; 102 ; 59 ; 262 ; 48 ; 107 ; 118 ; 75 ; 61 ; 93 ; 90 ; 161 ; 64 ; 73 ; 21 ; 186 ; 172 ; 3.103 ; 109 ; 298 ; 102 ; 213 ; 123 ; 4.847 
25-Jan;GIRO; 178 ; 102 ; 94 ; 33 ; 67 ; 70 ; 96 ; 102 ; 59 ; 262 ; 48 ; 108 ; 118 ; 75 ; 61 ; 93 ; 90 ; 159 ; 64 ; 74 ; 21 ; 186 ; 173 ; 3.101 ; 109 ; 299 ; 101 ; 214 ; 123 ; 4.849 
26-Jan;GIRO; 178 ; 104 ; 94 ; 33 ; 68 ; 70 ; 96 ; 101 ; 59 ; 263 ; 48 ; 107 ; 117 ; 75 ; 61 ; 92 ; 90 ; 157 ; 64 ; 74 ; 22 ; 185 ; 175 ; 3.108 ; 109 ; 300 ; 100 ; 215 ; 122 ; 4.850 
