Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 59,00 ; 10,51 ; 68,72 ; 138,23 
542; KCP Pangandaran; 14,27 ; 4,91 ; 83,53 ; 102,72 
543; KCP Pelabuhan Ratu; 6,48 ; 32,29 ; 49,85 ; 88,61 
593; KCP ITB; 89,92 ; 93,36 ; 58,24 ; 241,51 
598; KCP BRI JATINANGOR; 17,85 ; 9,13 ; 126,12 ; 153,10 
599; KCP Patrol; 5,28 ; 10,47 ; 64,43 ; 80,18 
600; KCP SUMBER SARI; 8,08 ; 23,15 ; 63,84 ; 95,07 
601; KCP Weru; 37,97 ; 25,65 ; 119,55 ; 183,18 
650; KCP OTTO ISKANDARDINATA; 33,83 ; 4,39 ; 60,36 ; 98,58 
655; KCP SETRASARI; 53,15 ; 14,07 ; 82,31 ; 149,52 
656; KCP PADALARANG; 19,17 ; 8,15 ; 62,72 ; 90,05 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,65 ; 12,87 ; 53,61 ; 96,14 
1070; KCP CIJERAH; 38,86 ; 10,50 ; 68,99 ; 118,35 
1071; KCP CIMINDI; 21,42 ; 14,24 ; 75,85 ; 111,51 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,47 ; 3,95 ; 95,41 ; 116,82 
1107; KCP METRO TRADE CENTER; 22,53 ; 8,99 ; 71,83 ; 103,35 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,12 ; 2,64 ; 38,47 ; 66,22 
1140; KCP BANJARAN; 17,31 ; 8,38 ; 55,58 ; 81,27 
1141; KCP SUMMARECON BANDUNG; 24,72 ; 30,24 ; 62,38 ; 117,33 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,02 
1346; KCP CIKAJANG; 10,90 ; 3,85 ; 67,85 ; 82,59 
1355; KCP CICURUG; 9,12 ; 19,40 ; 39,65 ; 68,17 
1437; KCP CIAWI TASIKMALAYA; 4,69 ; 5,31 ; 51,33 ; 61,34 
1596; KCP TELKOM BANDUNG; 9,33 ; 106,94 ; 42,21 ; 158,47 
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,29 ; 8,84 ; 62,30 ; 97,43 
2058; KCP BATUNUNGGAL; 50,22 ; 28,91 ; 54,05 ; 133,19 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,96 ; 10,85 ; 79,33 ; 124,14 
2105; KCP SUCI; 48,26 ; 14,51 ; 61,65 ; 124,42 
2128; KCP CILEDUG CIREBON; 10,16 ; 4,27 ; 104,86 ; 119,28 
2154; KCP ANTAPANI; 14,71 ; 6,89 ; 47,77 ; 69,36 
2155; KCP TAMAN KOPO INDAH; 14,25 ; 2,69 ; 60,35 ; 77,29 
2184; KCP TAMAN KOPO INDAH II; 19,65 ; 9,57 ; 71,11 ; 100,34 
2229; KCP SURADE; 4,97 ; 3,63 ; 32,09 ; 40,69 
2230; KCP CIRANJANG; 9,47 ; 2,85 ; 37,05 ; 49,37 
2231; KCP SUKANAGARA; 1,04 ; 1,59 ; 36,55 ; 39,18 
Grand Total;Grand Total; 809 ; 558 ; 2.210 ; 3.577 
