NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Summarecon Bandung;KCP Taman Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP BRI Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
21-Jan; 105,71 ; 42,35 ; 9,65 ; 41,25 ; 3,98 ; 10,03 ; 5,30 ; 8,32 ; 34,06 ; 13,88 ; 47,48 ; 6,44 ; 9,24 ; 4,78 ; 12,39 ; 9,69 ; 14,48 ; 7,25 ; 4,91 ; 2,68 ; 2,40 ; 7,54 ; 28,83 ; 2,63 ; 14,52 ; 2,44 ; 8,14 ; 3,08 ; 16,49 ; 8,88 ; 4,95 ; 10,93 ; 1,10 ; 9,42
22-Jan; 105,46 ; 33,36 ; 11,31 ; 37,74 ; 3,91 ; 10,01 ; 4,51 ; 8,74 ; 32,30 ; 13,89 ; 47,73 ; 6,70 ; 9,09 ; 4,99 ; 16,01 ; 9,83 ; 14,09 ; 7,21 ; 4,94 ; 2,55 ; 2,40 ; 7,63 ; 28,55 ; 2,63 ; 11,49 ; 2,62 ; 7,44 ; 2,84 ; 17,18 ; 9,10 ; 4,92 ; 11,39 ; 1,10 ; 9,73 
24-Jan; 104,98 ; 34,05 ; 11,84 ; 37,43 ; 3,26 ; 10,06 ; 4,76 ; 8,00 ; 31,78 ; 14,03 ; 47,43 ; 6,51 ; 9,10 ; 5,71 ; 18,79 ; 9,94 ; 13,41 ; 7,50 ; 4,92 ; 2,95 ; 3,06 ; 7,01 ; 23,41 ; 2,65 ; 10,10 ; 2,51 ; 7,32 ; 12,72 ; 18,16 ; 8,82 ; 5,12 ; 11,89 ; 1,01 ; 9,76 
25-Jan; 114,81 ; 34,21 ; 12,05 ; 37,67 ; 3,42 ; 9,96 ; 4,91 ; 8,17 ; 31,13 ; 13,91 ; 48,09 ; 6,44 ; 10,08 ; 6,06 ; 18,82 ; 9,53 ; 20,87 ; 7,67 ; 4,90 ; 3,18 ; 2,88 ; 7,05 ; 23,77 ; 2,95 ; 10,29 ; 2,55 ; 7,28 ; 12,84 ; 18,21 ; 8,82 ; 5,05 ; 16,15 ; 1,35 ; 9,85 
26-Jan; 114,03 ; 33,36 ; 12,46 ; 38,84 ; 2,50 ; 9,87 ; 5,22 ; 7,65 ; 31,26 ; 13,75 ; 48,46 ; 6,86 ; 8,99 ; 5,72 ; 17,49 ; 9,49 ; 24,16 ; 7,76 ; 5,31 ; 2,77 ; 3,17 ; 7,29 ; 23,87 ; 3,10 ; 11,08 ; 2,96 ; 7,33 ; 13,05 ; 18,66 ; 8,34 ; 5,50 ; 15,86 ; 1,04 ; 9,38 
27-Jan; 113,08 ; 39,53 ; 8,15 ; 40,86 ; 2,47 ; 9,75 ; 4,95 ; 7,61 ; 36,48 ; 13,89 ; 47,67 ; 6,52 ; 8,91 ; 5,73 ; 13,87 ; 11,22 ; 28,64 ; 7,47 ; 5,35 ; 2,65 ; 2,52 ; 6,59 ; 23,62 ; 3,13 ; 9,05 ; 3,29 ; 6,53 ; 12,69 ; 18,84 ; 8,59 ; 4,99 ; 14,68 ; 1,18 ; 9,33 
28-Jan; 125,03 ; 41,11 ; 9,56 ; 38,14 ; 2,95 ; 9,51 ; 5,31 ; 8,62 ; 39,16 ; 14,09 ; 47,13 ; 6,65 ; 11,27 ; 5,34 ; 16,26 ; 8,99 ; 22,14 ; 7,37 ; 5,70 ; 2,79 ; 2,62 ; 6,59 ; 23,48 ; 3,17 ; 9,99 ; 3,21 ; 6,68 ; 2,78 ; 18,76 ; 7,91 ; 4,95 ; 15,31 ; 1,18 ; 9,35 
29-Jan; 219,32 ; 41,94 ; 11,92 ; 40,02 ; 2,69 ; 9,77 ; 5,30 ; 8,86 ; 39,54 ; 14,17 ; 49,14 ; 6,77 ; 13,14 ; 5,37 ; 16,52 ; 12,57 ; 22,77 ; 6,65 ; 5,21 ; 2,66 ; 2,43 ; 7,12 ; 28,05 ; 3,18 ; 10,90 ; 2,33 ; 6,48 ; 2,44 ; 17,88 ; 9,65 ; 4,81 ; 14,69 ; 1,22 ; 9,77 
30-Jan; 196,20 ; 35,21 ; 12,62 ; 38,38 ; 3,20 ; 9,68 ; 6,04 ; 9,81 ; 39,76 ; 14,17 ; 45,64 ; 6,95 ; 11,16 ; 5,42 ; 14,89 ; 14,41 ; 23,29 ; 7,70 ; 5,48 ; 2,79 ; 2,22 ; 6,75 ; 23,11 ; 3,17 ; 7,72 ; 2,70 ; 6,41 ; 2,48 ; 18,09 ; 9,33 ; 4,90 ; 14,20 ; 1,16 ; 11,91 
31-Jan; 196,04 ; 37,08 ; 13,35 ; 39,00 ; 3,48 ; 9,66 ; 6,10 ; 9,69 ; 41,33 ; 14,76 ; 44,76 ; 7,11 ; 11,91 ; 5,34 ; 14,95 ; 15,09 ; 23,96 ; 7,63 ; 5,41 ; 2,68 ; 2,26 ; 6,39 ; 23,71 ; 3,37 ; 8,50 ; 3,35 ; 6,20 ; 2,56 ; 22,34 ; 9,94 ; 5,03 ; 14,45 ; 1,24 ; 10,32 
02-Feb; 117,65 ; 26,63 ; 10,90 ; 40,15 ; 3,69 ; 9,59 ; 4,26 ; 7,21 ; 39,19 ; 14,48 ; 46,84 ; 3,69 ; 11,03 ; 5,26 ; 14,94 ; 0,00 ; 20,81 ; 7,61 ; 5,76 ; 2,61 ; 2,05 ; 4,93 ; 23,37 ; 9,41 ; 9,41 ; 3,22 ; 6,24 ; 2,67 ; 14,97 ; 7,25 ; 4,69 ; 14,54 ; 1,31 ; 8,72 
03-Feb; 108,06 ; 25,94 ; 15,37 ; 41,03 ; 2,99 ; 9,71 ; 3,72 ; 5,97 ; 38,23 ; 14,51 ; 48,38 ; 2,99 ; 10,29 ; 5,63 ; 14,59 ; 0,00 ; 15,59 ; 8,06 ; 5,87 ; 2,82 ; 1,92 ; 4,86 ; 23,59 ; 6,75 ; 6,75 ; 3,22 ; 6,43 ; 2,34 ; 16,63 ; 7,13 ; 4,76 ; 12,78 ; 1,12 ; 9,75 
04-Feb; 122,62 ; 27,90 ; 15,38 ; 38,91 ; 3,10 ; 9,78 ; 3,80 ; 6,46 ; 37,98 ; 14,45 ; 51,50 ; 7,15 ; 10,59 ; 5,50 ; 14,97 ; 19,42 ; 21,81 ; 8,11 ; 5,50 ; 2,62 ; 2,08 ; 5,29 ; 23,61 ; 3,93 ; 6,67 ; 3,17 ; 6,36 ; 2,46 ; 15,88 ; 7,55 ; 4,55 ; 12,21 ; 1,09 ; 9,91 
05-Feb; 118,95 ; 90,19 ; 16,42 ; 42,19 ; 3,75 ; 9,48 ; 3,68 ; 6,52 ; 37,06 ; 14,50 ; 55,68 ; 5,65 ; 8,14 ; 5,35 ; 14,86 ; 19,69 ; 21,41 ; 8,22 ; 6,71 ; 2,69 ; 1,82 ; 6,08 ; 23,17 ; 4,13 ; 7,66 ; 2,84 ; 6,29 ; 2,22 ; 14,20 ; 8,08 ; 5,01 ; 12,23 ; 1,05 ; 10,08 
06-Feb; 125,26 ; 30,72 ; 16,84 ; 40,83 ; 3,40 ; 9,44 ; 4,31 ; 7,18 ; 32,20 ; 14,68 ; 59,08 ; 5,15 ; 9,68 ; 5,35 ; 14,83 ; 11,80 ; 20,94 ; 8,42 ; 6,61 ; 2,88 ; 1,97 ; 5,31 ; 22,08 ; 4,18 ; 6,28 ; 2,52 ; 7,05 ; 2,20 ; 15,17 ; 7,84 ; 5,63 ; 14,20 ; 1,03 ; 10,02 
07-Feb; 125,21 ; 31,47 ; 17,11 ; 41,22 ; 3,31 ; 9,42 ; 4,25 ; 7,00 ; 31,87 ; 14,63 ; 61,39 ; 5,46 ; 8,84 ; 5,10 ; 14,85 ; 10,34 ; 21,38 ; 8,59 ; 6,32 ; 2,65 ; 1,99 ; 4,82 ; 22,26 ; 3,81 ; 6,73 ; 2,24 ; 6,87 ; 2,30 ; 15,21 ; 7,84 ; 5,66 ; 14,39 ; 1,08 ; 9,30 
08-Feb; 108,26 ; 31,60 ; 17,17 ; 41,08 ; 3,22 ; 9,59 ; 4,32 ; 6,46 ; 31,58 ; 14,67 ; 63,11 ; 5,53 ; 9,30 ; 5,31 ; 15,00 ; 10,10 ; 15,13 ; 8,71 ; 6,30 ; 2,60 ; 2,19 ; 4,92 ; 22,28 ; 3,62 ; 7,14 ; 2,14 ; 6,88 ; 2,40 ; 14,93 ; 7,94 ; 5,60 ; 12,61 ; 1,24 ; 9,33 
09-Feb; 129,71 ; 33,44 ; 16,87 ; 42,62 ; 3,13 ; 9,33 ; 4,70 ; 7,05 ; 30,41 ; 15,04 ; 64,63 ; 6,18 ; 9,22 ; 5,08 ; 15,06 ; 9,43 ; 22,64 ; 9,73 ; 5,84 ; 3,01 ; 2,25 ; 5,30 ; 22,82 ; 3,89 ; 9,39 ; 2,22 ; 7,56 ; 2,48 ; 16,13 ; 8,80 ; 6,35 ; 13,38 ; 1,03 ; 9,48 
