Row Labels;uker; Deposito ; Giro ; Tabungan ; Grand Total 
517; KCP Cipanas; 58,86 ; 9,34 ; 68,85 ; 137,05 
542; KCP Pangandaran; 18,12 ; 5,56 ; 84,27 ; 107,95 
543; KCP Pelabuhan Ratu; 6,68 ; 33,13 ; 48,00 ; 87,80 
593; KCP ITB; 89,52 ; 81,46 ; 58,57 ; 229,55 
598; KCP BRI JATINANGOR; 17,87 ; 8,13 ; 127,06 ; 153,05 
599; KCP Patrol; 5,28 ; 9,03 ; 65,07 ; 79,38 
600; KCP SUMBER SARI; 8,00 ; 23,77 ; 64,40 ; 96,17 
601; KCP Weru; 37,98 ; 26,07 ; 120,72 ; 184,78 
650; KCP OTTO ISKANDARDINATA; 33,83 ; 4,59 ; 59,13 ; 97,55 
655; KCP SETRASARI; 53,17 ; 13,86 ; 81,03 ; 148,06 
656; KCP PADALARANG; 19,15 ; 5,25 ; 63,87 ; 88,27 
673; KCP PASIR KALIKI; -   ; 0,00 ; 0,00 ; 0,00 
674; KCP PASAR BARU BANDUNG DS; -   ; -   ; 0,00 ; 0,00 
675; KCP RAJAWALI BANDUNG; 29,66 ; 10,79 ; 53,25 ; 93,70 
1070; KCP CIJERAH; 38,82 ; 9,20 ; 69,06 ; 117,09 
1071; KCP CIMINDI; 21,42 ; 14,87 ; 75,61 ; 111,90 
1077; KCP PETA; -   ; -   ; 0,09 ; 0,09 
1078; KCP SUMBER; 17,07 ; 4,22 ; 94,22 ; 115,51 
1107; KCP METRO TRADE CENTER; 22,54 ; 8,98 ; 72,11 ; 103,64 
1108; KCP ABDUL FATAH; -   ; -   ; 0,01 ; 0,01 
1139; KCP RANCAEKEK; 25,17 ; 3,76 ; 38,46 ; 67,39 
1140; KCP BANJARAN; 19,31 ; 6,59 ; 55,13 ; 81,03 
1141; KCP SUMMARECON BANDUNG; 24,72 ; 29,85 ; 64,39 ; 118,96 
1337; KCP CIKURUBUK; -   ; -   ; 0,00 ; 0,00 
1345; KCP GUNTUR; -   ; 0,00 ; 0,01 ; 0,01 
1346; KCP CIKAJANG; 10,90 ; 4,05 ; 67,08 ; 82,02 
1355; KCP CICURUG; 9,12 ; 17,11 ; 35,19 ; 61,41 
1437; KCP CIAWI TASIKMALAYA; 4,61 ; 5,48 ; 52,82 ; 62,91 
1596; KCP TELKOM BANDUNG; 9,33 ; 107,26 ; 41,53 ; 158,11 
1809; KCP MANGUNSARKORO; -   ; -   ; 0,00 ; 0,00 
2000; KCP CIHAMPELAS; -   ; 0,00 ; 0,01 ; 0,01 
2016; KCP LEMBANG; 26,28 ; 7,68 ; 61,88 ; 95,83 
2058; KCP BATUNUNGGAL; 50,28 ; 29,83 ; 55,95 ; 136,06 
2103; KCP Mekarwangi; -   ; -   ; 0,00 ; 0,00 
2104; KCP RIAU; 33,84 ; 10,93 ; 79,07 ; 123,84 
2105; KCP SUCI; 48,30 ; 14,90 ; 62,46 ; 125,66 
2128; KCP CILEDUG CIREBON; 10,16 ; 4,68 ; 93,73 ; 108,57 
2154; KCP ANTAPANI; 14,71 ; 6,63 ; 47,31 ; 68,66 
2155; KCP TAMAN KOPO INDAH; 14,26 ; 2,41 ; 63,10 ; 79,77 
2184; KCP TAMAN KOPO INDAH II; 20,00 ; 8,60 ; 71,90 ; 100,51 
2229; KCP SURADE; 4,97 ; 3,92 ; 32,38 ; 41,27 
2230; KCP CIRANJANG; 9,47 ; 2,43 ; 38,12 ; 50,02 
2231; KCP SUKANAGARA; 1,04 ; 1,63 ; 35,93 ; 38,60 
Grand Total;Grand Total; 814 ; 536 ; 2.202 ; 3.552 
