NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Buah Batu;KCP Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
12-Dec; 12,97 ; 49,11 ; 7,79 ; 37,18 ; 14,89 ; 31,68 ; 36,44 ; 56,69 ; 17,50 ; 11,17 ; 84,54 ; 18,27 ; 17,59 ; 16,23 ; 42,42 ; 19,81 ; 38,82 ; 11,26 ; 5,04 ; 12,12 ; 8,62 ; 8,99 ; 8,54 ; 15,84 ; 8,47 ; 2,54 ; 12,88 ; 8,03 ; 41,29 ; 28,63 ; 3,52 ; 37,32 ; 1,85 ; 17,48 
13-Dec; 12,97 ; 49,11 ; 7,79 ; 37,18 ; 14,86 ; 31,68 ; 36,44 ; 56,69 ; 17,50 ; 11,17 ; 84,54 ; 18,27 ; 17,59 ; 16,23 ; 42,43 ; 19,81 ; 38,72 ; 11,26 ; 5,04 ; 12,12 ; 8,62 ; 8,99 ; 8,54 ; 15,84 ; 8,47 ; 2,54 ; 12,88 ; 8,03 ; 41,29 ; 28,64 ; 3,52 ; 37,32 ; 1,85 ; 17,48 
14-Dec; 12,97 ; 49,11 ; 7,79 ; 37,18 ; 14,86 ; 31,68 ; 36,44 ; 56,69 ; 17,50 ; 11,17 ; 84,54 ; 18,27 ; 17,59 ; 16,23 ; 42,43 ; 19,81 ; 38,71 ; 11,26 ; 5,04 ; 12,12 ; 8,62 ; 8,99 ; 8,54 ; 15,84 ; 8,37 ; 2,54 ; 12,88 ; 8,03 ; 41,30 ; 28,64 ; 3,52 ; 37,32 ; 1,85 ; 17,38 
15-Dec; 12,97 ; 49,14 ; 7,79 ; 37,18 ; 14,88 ; 32,38 ; 36,38 ; 56,69 ; 17,50 ; 10,57 ; 84,09 ; 18,17 ; 17,59 ; 16,20 ; 43,43 ; 19,81 ; 38,71 ; 11,22 ; 5,04 ; 12,12 ; 8,61 ; 8,99 ; 8,54 ; 16,25 ; 8,17 ; 2,54 ; 12,78 ; 7,93 ; 41,57 ; 28,64 ; 3,52 ; 37,32 ; 1,85 ; 17,48 
16-Dec; 12,97 ; 49,14 ; 7,79 ; 37,18 ; 14,86 ; 32,38 ; 36,68 ; 57,33 ; 17,40 ; 10,47 ; 84,79 ; 18,17 ; 17,59 ; 16,20 ; 43,46 ; 20,19 ; 38,71 ; 11,26 ; 5,04 ; 12,12 ; 8,60 ; 9,29 ; 8,54 ; 16,39 ; 8,19 ; 2,55 ; 12,78 ; 7,93 ; 41,53 ; 28,84 ; 3,52 ; 37,32 ; 1,85 ; 17,49 
17-Dec; 12,97 ; 48,99 ; 7,79 ; 37,53 ; 14,86 ; 32,38 ; 36,68 ; 57,47 ; 17,40 ; 10,47 ; 84,76 ; 18,27 ; 17,59 ; 16,20 ; 43,47 ; 20,04 ; 36,18 ; 11,26 ; 5,04 ; 12,07 ; 8,60 ; 9,29 ; 8,55 ; 16,76 ; 8,19 ; 2,54 ; 12,78 ; 7,93 ; 41,53 ; 28,84 ; 3,52 ; 37,26 ; 1,85 ; 17,50 
18-Dec; 12,98 ; 48,99 ; 7,79 ; 37,53 ; 14,85 ; 32,38 ; 36,68 ; 57,48 ; 17,44 ; 10,58 ; 84,76 ; 18,27 ; 17,59 ; 16,20 ; 43,46 ; 20,04 ; 36,01 ; 11,26 ; 5,04 ; 12,07 ; 8,58 ; 9,29 ; 8,61 ; 16,76 ; 8,19 ; 2,54 ; 12,78 ; 8,03 ; 41,52 ; 27,14 ; 3,52 ; 37,23 ; 1,85 ; 17,53 
19-Dec; 12,98 ; 49,00 ; 7,79 ; 37,51 ; 14,85 ; 32,38 ; 36,58 ; 55,98 ; 17,44 ; 10,58 ; 84,76 ; 18,27 ; 17,62 ; 16,20 ; 43,51 ; 19,81 ; 36,93 ; 11,26 ; 5,04 ; 12,07 ; 8,58 ; 9,29 ; 8,61 ; 16,76 ; 8,19 ; 2,54 ; 12,78 ; 8,03 ; 41,59 ; 27,19 ; 3,52 ; 37,21 ; 1,85 ; 17,53 
20-Dec; 12,98 ; 49,00 ; 7,79 ; 37,51 ; 14,85 ; 32,38 ; 36,58 ; 55,98 ; 17,44 ; 10,58 ; 84,76 ; 18,27 ; 17,62 ; 16,20 ; 43,52 ; 19,81 ; 36,93 ; 11,26 ; 5,05 ; 12,07 ; 8,58 ; 9,29 ; 8,61 ; 16,76 ; 8,29 ; 2,54 ; 12,78 ; 8,03 ; 41,59 ; 26,80 ; 3,52 ; 37,21 ; 1,85 ; 17,53 
21-Dec; 12,98 ; 49,00 ; 7,79 ; 37,51 ; 14,87 ; 32,38 ; 36,58 ; 55,98 ; 17,46 ; 10,58 ; 84,76 ; 18,27 ; 17,62 ; 16,20 ; 43,52 ; 19,81 ; 36,95 ; 11,26 ; 5,05 ; 12,07 ; 8,88 ; 9,29 ; 8,61 ; 16,77 ; 8,29 ; 2,54 ; 12,78 ; 8,03 ; 41,59 ; 26,80 ; 3,52 ; 37,21 ; 1,85 ; 17,53 
22-Dec; 12,98 ; 48,99 ; 8,10 ; 37,44 ; 14,87 ; 32,39 ; 36,51 ; 55,99 ; 17,45 ; 10,58 ; 84,76 ; 18,27 ; 17,62 ; 16,20 ; 43,50 ; 19,81 ; 36,55 ; 11,26 ; 5,05 ; 12,02 ; 8,88 ; 9,29 ; 8,54 ; 16,77 ; 8,29 ; 2,54 ; 12,73 ; 8,03 ; 41,61 ; 26,76 ; 3,52 ; 37,11 ; 1,85 ; 17,53 
23-Dec; 12,98 ; 48,99 ; 8,10 ; 37,46 ; 14,87 ; 32,39 ; 36,51 ; 55,75 ; 17,60 ; 10,58 ; 84,75 ; 18,12 ; 17,62 ; 16,20 ; 43,75 ; 19,83 ; 36,70 ; 11,26 ; 5,05 ; 12,02 ; 8,88 ; 9,29 ; 8,54 ; 16,77 ; 8,29 ; 2,54 ; 12,73 ; 8,08 ; 41,62 ; 26,59 ; 3,52 ; 37,12 ; 1,85 ; 17,53 
