Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 614 ; 342 ; 1.241 ; 2.196 
25;Garut (Konsolidasi-MB); 220 ; 135 ; 1.946 ; 2.301 
28;Indramayu (Konsolidasi-MB); 225 ; 85 ; 1.459 ; 1.769 
46;Majalengka (Konsolidasi-MB); 175 ; 44 ; 1.538 ; 1.757 
75;Purwakarta (Konsolidasi-MB); 247 ; 98 ; 1.052 ; 1.397 
92;Sukabumi (Konsolidasi-MB); 168 ; 86 ; 1.234 ; 1.487 
94;Sumedang (Konsolidasi-MB); 362 ; 183 ; 1.312 ; 1.857 
100;Tasikmalaya (Konsolidasi-MB); 162 ; 112 ; 1.468 ; 1.742 
104;Ciamis (Konsolidasi-MB); 144 ; 59 ; 1.210 ; 1.414 
105;Cianjur (Konsolidasi-MB); 253 ; 75 ; 1.477 ; 1.805 
107;Cirebon Kartini (Konsolidasi-MB); 650 ; 209 ; 2.098 ; 2.956 
123;Subang (Konsolidasi-MB); 171 ; 168 ; 1.038 ; 1.377 
132;Majalaya (Konsolidasi-MB); 240 ; 32 ; 1.255 ; 1.527 
133;Kuningan (Konsolidasi-MB); 302 ; 76 ; 1.650 ; 2.028 
137;Cimahi (Konsolidasi-MB); 583 ; 445 ; 2.485 ; 3.513 
161;Singaparna (Konsolidasi-MB); 162 ; 41 ; 962 ; 1.166 
162;Banjar (Konsolidasi-MB); 156 ; 67 ; 1.253 ; 1.476 
165;Jatibarang (Konsolidasi-MB); 130 ; 28 ; 1.474 ; 1.632 
181;Cibadak (Konsolidasi-MB); 155 ; 97 ; 1.046 ; 1.297 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.230 ; 333 ; 1.359 ; 2.921 
337;Bandung Naripan (Konsolidasi-MB); 322 ; 255 ; 911 ; 1.489 
354;Bandung A.H. Nasution (Konsolidasi-MB); 609 ; 239 ; 1.246 ; 2.093 
355;Pamanukan (Konsolidasi-MB); 102 ; 147 ; 900 ; 1.149 
389;Bandung Martadinata (Konsolidasi-MB); 588 ; 220 ; 750 ; 1.559 
401;Bandung Kopo (Konsolidasi-MB); 670 ; 233 ; 885 ; 1.788 
405;Bandung Dago (Konsolidasi-MB); 488 ; 249 ; 1.009 ; 1.745 
406;Cirebon Gunung Jati (Konsolidasi-MB); 230 ; 94 ; 1.298 ; 1.622 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 637 ; 340 ; 886 ; 1.864 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 101 ; 780 ; 1.176 
544;Soreang (Konsolidasi-MB); 234 ; 57 ; 1.103 ; 1.394 
Grand;; 10.524 ; 4.649 ; 38.323 ; 53.497 
