UKER;;KC Purwakarta;KC Indramayu;KC Subang;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Kartini;KC Kuningan;KC Cirebon Gunung Jati;KC Garut;KC Tasikmalaya;KC Ciamis;KC Singaparna;KC Banjar;KC Sukabumi;KC Cianjur;KC Majalaya;KC Cimahi;KC Cibadak;KC Soreang;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Naripan;KC Bandung A.H. Nasution;KC Bandung Martadinata;KC Bandung Kopo;KC Bandung Dago;KC Bandung Sukarno Hatta;KC Bandung Setiabudi
19-Dec;DEPO; 255 ; 238 ; 174 ; 135 ; 99 ; 389 ; 162 ; 576 ; 250 ; 223 ; 284 ; 145 ; 132 ; 179 ; 151 ; 179 ; 253 ; 205 ; 684 ; 163 ; 203 ; 344 ; 205 ; 342 ; 560 ; 257 ; 639 ; 349 ; 333 ; 373 
20-Dec;DEPO; 255 ; 238 ; 174 ; 136 ; 99 ; 389 ; 162 ; 576 ; 250 ; 223 ; 285 ; 145 ; 132 ; 180 ; 151 ; 179 ; 252 ; 205 ; 684 ; 163 ; 203 ; 344 ; 205 ; 342 ; 560 ; 257 ; 640 ; 349 ; 333 ; 372 
21-Dec;DEPO; 255 ; 237 ; 174 ; 136 ; 99 ; 389 ; 162 ; 575 ; 250 ; 223 ; 284 ; 146 ; 132 ; 180 ; 151 ; 179 ; 252 ; 205 ; 684 ; 163 ; 203 ; 344 ; 205 ; 342 ; 560 ; 258 ; 640 ; 348 ; 332 ; 372 
22-Dec;DEPO; 255 ; 237 ; 174 ; 135 ; 99 ; 389 ; 161 ; 554 ; 250 ; 223 ; 285 ; 145 ; 131 ; 180 ; 150 ; 179 ; 253 ; 205 ; 683 ; 161 ; 202 ; 345 ; 212 ; 342 ; 559 ; 257 ; 641 ; 348 ; 332 ; 372 
23-Dec;DEPO; 256 ; 237 ; 174 ; 137 ; 99 ; 389 ; 162 ; 554 ; 250 ; 224 ; 285 ; 145 ; 131 ; 180 ; 155 ; 178 ; 251 ; 204 ; 681 ; 161 ; 202 ; 345 ; 212 ; 331 ; 560 ; 257 ; 641 ; 347 ; 333 ; 371 
24-Dec;DEPO; 256 ; 237 ; 174 ; 137 ; 98 ; 368 ; 161 ; 554 ; 251 ; 222 ; 268 ; 145 ; 130 ; 178 ; 155 ; 178 ; 251 ; 206 ; 683 ; 160 ; 202 ; 345 ; 209 ; 330 ; 560 ; 256 ; 641 ; 340 ; 333 ; 372 
25-Dec;DEPO; 256 ; 237 ; 174 ; 137 ; 99 ; 368 ; 161 ; 554 ; 251 ; 222 ; 268 ; 145 ; 130 ; 178 ; 155 ; 178 ; 251 ; 206 ; 683 ; 160 ; 202 ; 344 ; 209 ; 330 ; 560 ; 254 ; 641 ; 340 ; 333 ; 372 
26-Dec;DEPO; 256 ; 236 ; 174 ; 137 ; 99 ; 368 ; 161 ; 554 ; 251 ; 222 ; 268 ; 145 ; 130 ; 178 ; 155 ; 177 ; 251 ; 206 ; 683 ; 160 ; 202 ; 344 ; 209 ; 330 ; 560 ; 254 ; 640 ; 340 ; 333 ; 372 
27-Dec;DEPO; 256 ; 236 ; 174 ; 137 ; 99 ; 368 ; 161 ; 554 ; 251 ; 222 ; 268 ; 145 ; 130 ; 178 ; 155 ; 177 ; 251 ; 206 ; 683 ; 159 ; 202 ; 345 ; 209 ; 330 ; 560 ; 254 ; 640 ; 340 ; 333 ; 372 
28-Dec;DEPO; 256 ; 236 ; 174 ; 137 ; 99 ; 368 ; 161 ; 554 ; 251 ; 222 ; 268 ; 145 ; 130 ; 178 ; 155 ; 177 ; 251 ; 206 ; 683 ; 159 ; 202 ; 344 ; 209 ; 330 ; 560 ; 254 ; 640 ; 341 ; 332 ; 371 
29-Dec;DEPO; 256 ; 237 ; 172 ; 137 ; 99 ; 367 ; 161 ; 554 ; 251 ; 222 ; 266 ; 145 ; 130 ; 178 ; 155 ; 177 ; 248 ; 206 ; 660 ; 159 ; 202 ; 318 ; 207 ; 331 ; 561 ; 256 ; 639 ; 343 ; 331 ; 370 
