Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 615 ; 338 ; 1.213 ; 2.166 
25;Garut (Konsolidasi-MB); 223 ; 90 ; 1.894 ; 2.207 
28;Indramayu (Konsolidasi-MB); 225 ; 111 ; 1.434 ; 1.770 
46;Majalengka (Konsolidasi-MB); 174 ; 44 ; 1.495 ; 1.713 
75;Purwakarta (Konsolidasi-MB); 240 ; 87 ; 981 ; 1.307 
92;Sukabumi (Konsolidasi-MB); 173 ; 92 ; 1.184 ; 1.449 
94;Sumedang (Konsolidasi-MB); 363 ; 184 ; 1.265 ; 1.812 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 109 ; 1.441 ; 1.713 
104;Ciamis (Konsolidasi-MB); 146 ; 57 ; 1.171 ; 1.374 
105;Cianjur (Konsolidasi-MB); 249 ; 74 ; 1.415 ; 1.738 
107;Cirebon Kartini (Konsolidasi-MB); 663 ; 213 ; 2.059 ; 2.936 
123;Subang (Konsolidasi-MB); 172 ; 164 ; 991 ; 1.328 
132;Majalaya (Konsolidasi-MB); 245 ; 73 ; 1.213 ; 1.531 
133;Kuningan (Konsolidasi-MB); 302 ; 71 ; 1.608 ; 1.982 
137;Cimahi (Konsolidasi-MB); 581 ; 416 ; 2.347 ; 3.344 
161;Singaparna (Konsolidasi-MB); 162 ; 41 ; 929 ; 1.132 
162;Banjar (Konsolidasi-MB); 152 ; 58 ; 1.224 ; 1.435 
165;Jatibarang (Konsolidasi-MB); 130 ; 35 ; 1.447 ; 1.612 
181;Cibadak (Konsolidasi-MB); 158 ; 80 ; 1.021 ; 1.259 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 324 ; 1.352 ; 2.910 
337;Bandung Naripan (Konsolidasi-MB); 344 ; 259 ; 809 ; 1.413 
354;Bandung A.H. Nasution (Konsolidasi-MB); 597 ; 254 ; 1.156 ; 2.007 
355;Pamanukan (Konsolidasi-MB); 102 ; 147 ; 869 ; 1.118 
389;Bandung Martadinata (Konsolidasi-MB); 578 ; 198 ; 728 ; 1.504 
401;Bandung Kopo (Konsolidasi-MB); 645 ; 199 ; 892 ; 1.737 
405;Bandung Dago (Konsolidasi-MB); 492 ; 247 ; 920 ; 1.659 
406;Cirebon Gunung Jati (Konsolidasi-MB); 235 ; 77 ; 1.259 ; 1.571 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 608 ; 221 ; 853 ; 1.682 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 97 ; 742 ; 1.134 
544;Soreang (Konsolidasi-MB); 213 ; 48 ; 1.075 ; 1.336 
Grand;; 10.482 ; 4.410 ; 36.988 ; 51.880 
