Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 611 ; 348 ; 1.180 ; 2.140 
25;Garut (Konsolidasi-MB); 223 ; 212 ; 1.926 ; 2.361 
28;Indramayu (Konsolidasi-MB); 225 ; 107 ; 1.442 ; 1.774 
46;Majalengka (Konsolidasi-MB); 175 ; 44 ; 1.504 ; 1.723 
75;Purwakarta (Konsolidasi-MB); 240 ; 101 ; 987 ; 1.328 
92;Sukabumi (Konsolidasi-MB); 173 ; 84 ; 1.187 ; 1.444 
94;Sumedang (Konsolidasi-MB); 363 ; 172 ; 1.269 ; 1.805 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 111 ; 1.458 ; 1.732 
104;Ciamis (Konsolidasi-MB); 147 ; 55 ; 1.181 ; 1.383 
105;Cianjur (Konsolidasi-MB); 248 ; 64 ; 1.437 ; 1.749 
107;Cirebon Kartini (Konsolidasi-MB); 661 ; 203 ; 2.064 ; 2.928 
123;Subang (Konsolidasi-MB); 172 ; 163 ; 1.003 ; 1.338 
132;Majalaya (Konsolidasi-MB); 247 ; 23 ; 1.223 ; 1.492 
133;Kuningan (Konsolidasi-MB); 304 ; 71 ; 1.609 ; 1.983 
137;Cimahi (Konsolidasi-MB); 577 ; 423 ; 2.358 ; 3.359 
161;Singaparna (Konsolidasi-MB); 162 ; 50 ; 934 ; 1.146 
162;Banjar (Konsolidasi-MB); 158 ; 58 ; 1.228 ; 1.444 
165;Jatibarang (Konsolidasi-MB); 130 ; 42 ; 1.445 ; 1.617 
181;Cibadak (Konsolidasi-MB); 159 ; 94 ; 1.019 ; 1.272 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.235 ; 328 ; 1.076 ; 2.639 
337;Bandung Naripan (Konsolidasi-MB); 347 ; 246 ; 821 ; 1.414 
354;Bandung A.H. Nasution (Konsolidasi-MB); 605 ; 245 ; 1.151 ; 2.002 
355;Pamanukan (Konsolidasi-MB); 97 ; 128 ; 879 ; 1.104 
389;Bandung Martadinata (Konsolidasi-MB); 719 ; 285 ; 727 ; 1.732 
401;Bandung Kopo (Konsolidasi-MB); 629 ; 214 ; 868 ; 1.711 
405;Bandung Dago (Konsolidasi-MB); 485 ; 232 ; 921 ; 1.638 
406;Cirebon Gunung Jati (Konsolidasi-MB); 237 ; 82 ; 1.242 ; 1.560 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 578 ; 250 ; 847 ; 1.676 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 95 ; 736 ; 1.126 
544;Soreang (Konsolidasi-MB); 215 ; 42 ; 1.047 ; 1.304 
Grand;; 10.581 ; 4.572 ; 36.769 ; 51.922 
