Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 615 ; 329 ; 1.201 ; 2.145 
25;Garut (Konsolidasi-MB); 222 ; 174 ; 1.916 ; 2.312 
28;Indramayu (Konsolidasi-MB); 225 ; 89 ; 1.445 ; 1.759 
46;Majalengka (Konsolidasi-MB); 174 ; 43 ; 1.510 ; 1.727 
75;Purwakarta (Konsolidasi-MB); 238 ; 98 ; 1.022 ; 1.358 
92;Sukabumi (Konsolidasi-MB); 173 ; 86 ; 1.239 ; 1.499 
94;Sumedang (Konsolidasi-MB); 363 ; 183 ; 1.271 ; 1.817 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 115 ; 1.444 ; 1.722 
104;Ciamis (Konsolidasi-MB); 145 ; 57 ; 1.188 ; 1.390 
105;Cianjur (Konsolidasi-MB); 252 ; 73 ; 1.426 ; 1.751 
107;Cirebon Kartini (Konsolidasi-MB); 662 ; 258 ; 2.061 ; 2.981 
123;Subang (Konsolidasi-MB); 172 ; 165 ; 1.008 ; 1.345 
132;Majalaya (Konsolidasi-MB); 239 ; 24 ; 1.229 ; 1.492 
133;Kuningan (Konsolidasi-MB); 302 ; 76 ; 1.625 ; 2.003 
137;Cimahi (Konsolidasi-MB); 582 ; 412 ; 2.356 ; 3.349 
161;Singaparna (Konsolidasi-MB); 162 ; 43 ; 944 ; 1.148 
162;Banjar (Konsolidasi-MB); 155 ; 60 ; 1.228 ; 1.443 
165;Jatibarang (Konsolidasi-MB); 130 ; 26 ; 1.462 ; 1.618 
181;Cibadak (Konsolidasi-MB); 155 ; 87 ; 1.041 ; 1.282 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 319 ; 1.337 ; 2.890 
337;Bandung Naripan (Konsolidasi-MB); 349 ; 269 ; 844 ; 1.462 
354;Bandung A.H. Nasution (Konsolidasi-MB); 604 ; 261 ; 1.213 ; 2.077 
355;Pamanukan (Konsolidasi-MB); 103 ; 143 ; 872 ; 1.119 
389;Bandung Martadinata (Konsolidasi-MB); 585 ; 177 ; 750 ; 1.512 
401;Bandung Kopo (Konsolidasi-MB); 645 ; 187 ; 891 ; 1.723 
405;Bandung Dago (Konsolidasi-MB); 496 ; 265 ; 948 ; 1.709 
406;Cirebon Gunung Jati (Konsolidasi-MB); 233 ; 95 ; 1.267 ; 1.595 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 606 ; 241 ; 860 ; 1.707 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 100 ; 765 ; 1.160 
544;Soreang (Konsolidasi-MB); 228 ; 53 ; 1.087 ; 1.369 
Grand;; 10.505 ; 4.507 ; 37.450 ; 52.463 
