Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 611 ; 351 ; 1.179 ; 2.140 
25;Garut (Konsolidasi-MB); 222 ; 98 ; 1.925 ; 2.244 
28;Indramayu (Konsolidasi-MB); 225 ; 107 ; 1.452 ; 1.783 
46;Majalengka (Konsolidasi-MB); 175 ; 44 ; 1.512 ; 1.731 
75;Purwakarta (Konsolidasi-MB); 247 ; 86 ; 987 ; 1.320 
92;Sukabumi (Konsolidasi-MB); 173 ; 94 ; 1.212 ; 1.479 
94;Sumedang (Konsolidasi-MB); 363 ; 173 ; 1.272 ; 1.808 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 107 ; 1.455 ; 1.725 
104;Ciamis (Konsolidasi-MB); 147 ; 57 ; 1.180 ; 1.384 
105;Cianjur (Konsolidasi-MB); 248 ; 61 ; 1.450 ; 1.758 
107;Cirebon Kartini (Konsolidasi-MB); 662 ; 208 ; 2.060 ; 2.931 
123;Subang (Konsolidasi-MB); 172 ; 161 ; 998 ; 1.331 
132;Majalaya (Konsolidasi-MB); 247 ; 22 ; 1.221 ; 1.490 
133;Kuningan (Konsolidasi-MB); 304 ; 73 ; 1.612 ; 1.989 
137;Cimahi (Konsolidasi-MB); 577 ; 422 ; 2.358 ; 3.357 
161;Singaparna (Konsolidasi-MB); 162 ; 47 ; 940 ; 1.149 
162;Banjar (Konsolidasi-MB); 156 ; 56 ; 1.234 ; 1.446 
165;Jatibarang (Konsolidasi-MB); 130 ; 44 ; 1.449 ; 1.624 
181;Cibadak (Konsolidasi-MB); 159 ; 87 ; 1.018 ; 1.264 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 349 ; 1.082 ; 2.665 
337;Bandung Naripan (Konsolidasi-MB); 348 ; 249 ; 820 ; 1.417 
354;Bandung A.H. Nasution (Konsolidasi-MB); 605 ; 263 ; 1.149 ; 2.017 
355;Pamanukan (Konsolidasi-MB); 97 ; 127 ; 881 ; 1.105 
389;Bandung Martadinata (Konsolidasi-MB); 717 ; 306 ; 732 ; 1.754 
401;Bandung Kopo (Konsolidasi-MB); 629 ; 187 ; 891 ; 1.707 
405;Bandung Dago (Konsolidasi-MB); 496 ; 239 ; 928 ; 1.663 
406;Cirebon Gunung Jati (Konsolidasi-MB); 237 ; 87 ; 1.242 ; 1.565 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 578 ; 275 ; 898 ; 1.751 
408;Bandung Setiabudi (Konsolidasi-MB); 294 ; 98 ; 737 ; 1.129 
544;Soreang (Konsolidasi-MB); 234 ; 42 ; 1.052 ; 1.328 
Grand;; 10.612 ; 4.518 ; 36.926 ; 52.056 
