Row L;uker;Deposito;Giro;Tabungan;Grand Total
5; KC Bandung AA (Konsolidasi;359;259;971;1.589
25; KC Garut (Konsolidasi;267;106;1.782;2.155
28; KC Indramayu (Konsolidasi;235;74;1.345;1.653
46; KC Majalengka (Konsolidasi;160;94;1.414;1.667
75; KC Purwakarta (Konsolidasi;254;163;955;1.372
92; KC Sukabumi (Konsolidasi;180;87;1.158;1.425
94; KC Sumedang (Konsolidasi;360;82;1.263;1.704
100; KC Tasikmalaya (Konsolidasi;143;103;1.364;1.610
104; KC Ciamis (Konsolidasi;137;68;1.107;1.312
105; KC Cianjur (Konsolidasi;251;53;1.315;1.619
107; KC Cirebon Kartini (Konsolidasi;574;242;1.678;2.494
123; KC Subang (Konsolidasi;174;129;955;1.258
132; KC Majalaya (Konsolidasi;198;30;1.134;1.362
133; KC Kuningan (Konsolidasi;253;63;1.548;1.865
137; KC Cimahi (Konsolidasi;670;107;1.805;2.583
161; KC Singaparna (Konsolidasi;179;48;892;1.120
162; KC Banjar (Konsolidasi;153;65;1.145;1.363
165; KC Jatibarang (Konsolidasi;136;26;1.336;1.498
181; KC Cibadak (Konsolidasi;158;72;948;1.178
286; KC Bandung Dewi Sartika (Konsolidasi;395;277;1.072;1.745
337; KC Bandung Naripan (Konsolidasi;292;253;909;1.454
354; KC Bandung A.H. Nasution (Konsolidasi;420;196;1.090;1.706
355; KC Pamanukan (Konsolidasi;100;88;858;1.047
389; KC Bandung Martadinata (Konsolidasi;290;112;927;1.329
401; KC Bandung Kopo (Konsolidasi;635;79;905;1.619
405; KC Bandung Dago (Konsolidasi;444;147;882;1.474
406; KC Cirebon Gunung Jati (Konsolidasi;220;80;1.180;1.480
407; KC Bandung Sukarno Hatta (Konsolidasi;332;160;820;1.312
408; KC Bandung Setiabudi (Konsolidasi;302;105;720;1.128
544; KC Soreang (Konsolidasi;200;82;1.007;1.290
