Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 612 ; 342 ; 1.188 ; 2.142 
25;Garut (Konsolidasi-MB); 223 ; 94 ; 1.907 ; 2.224 
28;Indramayu (Konsolidasi-MB); 225 ; 109 ; 1.433 ; 1.768 
46;Majalengka (Konsolidasi-MB); 175 ; 41 ; 1.522 ; 1.738 
75;Purwakarta (Konsolidasi-MB); 240 ; 83 ; 984 ; 1.306 
92;Sukabumi (Konsolidasi-MB); 173 ; 91 ; 1.215 ; 1.479 
94;Sumedang (Konsolidasi-MB); 363 ; 184 ; 1.275 ; 1.822 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 117 ; 1.454 ; 1.734 
104;Ciamis (Konsolidasi-MB); 147 ; 57 ; 1.179 ; 1.383 
105;Cianjur (Konsolidasi-MB); 249 ; 69 ; 1.450 ; 1.768 
107;Cirebon Kartini (Konsolidasi-MB); 663 ; 213 ; 2.065 ; 2.941 
123;Subang (Konsolidasi-MB); 172 ; 158 ; 1.000 ; 1.329 
132;Majalaya (Konsolidasi-MB); 246 ; 71 ; 1.219 ; 1.535 
133;Kuningan (Konsolidasi-MB); 303 ; 71 ; 1.611 ; 1.985 
137;Cimahi (Konsolidasi-MB); 581 ; 403 ; 2.359 ; 3.343 
161;Singaparna (Konsolidasi-MB); 162 ; 47 ; 942 ; 1.150 
162;Banjar (Konsolidasi-MB); 152 ; 54 ; 1.234 ; 1.440 
165;Jatibarang (Konsolidasi-MB); 130 ; 36 ; 1.446 ; 1.613 
181;Cibadak (Konsolidasi-MB); 159 ; 83 ; 1.017 ; 1.259 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 325 ; 1.349 ; 2.908 
337;Bandung Naripan (Konsolidasi-MB); 340 ; 257 ; 817 ; 1.414 
354;Bandung A.H. Nasution (Konsolidasi-MB); 606 ; 240 ; 1.162 ; 2.008 
355;Pamanukan (Konsolidasi-MB); 102 ; 131 ; 879 ; 1.112 
389;Bandung Martadinata (Konsolidasi-MB); 577 ; 168 ; 730 ; 1.476 
401;Bandung Kopo (Konsolidasi-MB); 647 ; 217 ; 894 ; 1.758 
405;Bandung Dago (Konsolidasi-MB); 493 ; 260 ; 939 ; 1.691 
406;Cirebon Gunung Jati (Konsolidasi-MB); 236 ; 89 ; 1.251 ; 1.576 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 608 ; 227 ; 857 ; 1.692 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 95 ; 742 ; 1.132 
544;Soreang (Konsolidasi-MB); 215 ; 45 ; 1.074 ; 1.334 
Grand;; 10.488 ; 4.379 ; 37.193 ; 52.060 
