Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 611 ; 342 ; 1.194 ; 2.147 
25;Garut (Konsolidasi-MB); 222 ; 97 ; 1.939 ; 2.259 
28;Indramayu (Konsolidasi-MB); 225 ; 104 ; 1.470 ; 1.799 
46;Majalengka (Konsolidasi-MB); 174 ; 43 ; 1.546 ; 1.763 
75;Purwakarta (Konsolidasi-MB); 247 ; 88 ; 1.003 ; 1.338 
92;Sukabumi (Konsolidasi-MB); 173 ; 94 ; 1.226 ; 1.493 
94;Sumedang (Konsolidasi-MB); 363 ; 171 ; 1.306 ; 1.841 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 117 ; 1.475 ; 1.756 
104;Ciamis (Konsolidasi-MB); 147 ; 56 ; 1.189 ; 1.393 
105;Cianjur (Konsolidasi-MB); 248 ; 63 ; 1.501 ; 1.813 
107;Cirebon Kartini (Konsolidasi-MB); 663 ; 205 ; 2.087 ; 2.955 
123;Subang (Konsolidasi-MB); 172 ; 161 ; 1.029 ; 1.362 
132;Majalaya (Konsolidasi-MB); 246 ; 21 ; 1.235 ; 1.502 
133;Kuningan (Konsolidasi-MB); 304 ; 80 ; 1.624 ; 2.008 
137;Cimahi (Konsolidasi-MB); 577 ; 424 ; 2.388 ; 3.390 
161;Singaparna (Konsolidasi-MB); 162 ; 47 ; 964 ; 1.173 
162;Banjar (Konsolidasi-MB); 156 ; 54 ; 1.248 ; 1.458 
165;Jatibarang (Konsolidasi-MB); 130 ; 50 ; 1.467 ; 1.647 
181;Cibadak (Konsolidasi-MB); 159 ; 88 ; 1.030 ; 1.277 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 343 ; 1.085 ; 2.662 
337;Bandung Naripan (Konsolidasi-MB); 348 ; 249 ; 829 ; 1.426 
354;Bandung A.H. Nasution (Konsolidasi-MB); 605 ; 263 ; 1.158 ; 2.026 
355;Pamanukan (Konsolidasi-MB); 98 ; 128 ; 899 ; 1.125 
389;Bandung Martadinata (Konsolidasi-MB); 717 ; 299 ; 741 ; 1.756 
401;Bandung Kopo (Konsolidasi-MB); 629 ; 177 ; 897 ; 1.703 
405;Bandung Dago (Konsolidasi-MB); 495 ; 236 ; 939 ; 1.670 
406;Cirebon Gunung Jati (Konsolidasi-MB); 237 ; 86 ; 1.256 ; 1.578 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 578 ; 265 ; 908 ; 1.751 
408;Bandung Setiabudi (Konsolidasi-MB); 294 ; 101 ; 741 ; 1.136 
544;Soreang (Konsolidasi-MB); 234 ; 42 ; 1.059 ; 1.335 
Grand;; 10.613 ; 4.496 ; 37.434 ; 52.542 
