Row L;uker; Deposito ; Giro ; Tabungan ; Grand Total 
5;Bandung AA (Konsolidasi-MB); 614 ; 335 ; 1.217 ; 2.166 
25;Garut (Konsolidasi-MB); 222 ; 133 ; 1.901 ; 2.257 
28;Indramayu (Konsolidasi-MB); 225 ; 92 ; 1.440 ; 1.757 
46;Majalengka (Konsolidasi-MB); 174 ; 43 ; 1.497 ; 1.714 
75;Purwakarta (Konsolidasi-MB); 238 ; 85 ; 1.006 ; 1.328 
92;Sukabumi (Konsolidasi-MB); 173 ; 84 ; 1.193 ; 1.450 
94;Sumedang (Konsolidasi-MB); 364 ; 183 ; 1.267 ; 1.814 
100;Tasikmalaya (Konsolidasi-MB); 163 ; 111 ; 1.438 ; 1.711 
104;Ciamis (Konsolidasi-MB); 146 ; 58 ; 1.177 ; 1.382 
105;Cianjur (Konsolidasi-MB); 249 ; 71 ; 1.421 ; 1.741 
107;Cirebon Kartini (Konsolidasi-MB); 663 ; 219 ; 2.053 ; 2.935 
123;Subang (Konsolidasi-MB); 171 ; 165 ; 1.000 ; 1.335 
132;Majalaya (Konsolidasi-MB); 242 ; 22 ; 1.217 ; 1.481 
133;Kuningan (Konsolidasi-MB); 302 ; 70 ; 1.608 ; 1.980 
137;Cimahi (Konsolidasi-MB); 582 ; 417 ; 2.358 ; 3.357 
161;Singaparna (Konsolidasi-MB); 162 ; 36 ; 931 ; 1.129 
162;Banjar (Konsolidasi-MB); 155 ; 55 ; 1.225 ; 1.435 
165;Jatibarang (Konsolidasi-MB); 130 ; 33 ; 1.451 ; 1.614 
181;Cibadak (Konsolidasi-MB); 155 ; 85 ; 1.023 ; 1.263 
198;NWIL Bandung (Konsolidasi-MB); -   ; -   ; 0 ; 0 
286;Bandung Dewi Sartika (Konsolidasi-MB); 1.234 ; 318 ; 1.365 ; 2.917 
337;Bandung Naripan (Konsolidasi-MB); 342 ; 264 ; 826 ; 1.432 
354;Bandung A.H. Nasution (Konsolidasi-MB); 599 ; 264 ; 1.186 ; 2.048 
355;Pamanukan (Konsolidasi-MB); 103 ; 142 ; 862 ; 1.107 
389;Bandung Martadinata (Konsolidasi-MB); 581 ; 175 ; 726 ; 1.483 
401;Bandung Kopo (Konsolidasi-MB); 646 ; 171 ; 865 ; 1.682 
405;Bandung Dago (Konsolidasi-MB); 495 ; 247 ; 924 ; 1.666 
406;Cirebon Gunung Jati (Konsolidasi-MB); 236 ; 75 ; 1.258 ; 1.569 
407;Bandung Sukarno Hatta (Konsolidasi-MB); 607 ; 239 ; 821 ; 1.667 
408;Bandung Setiabudi (Konsolidasi-MB); 295 ; 96 ; 764 ; 1.156 
544;Soreang (Konsolidasi-MB); 213 ; 50 ; 1.078 ; 1.341 
Grand;; 10.483 ; 4.338 ; 37.097 ; 51.918 
