UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
17-Jan;DEPO; 91 ; 72 ; 108 ; 51 ; 70 ; 57 ; 48 ; 86 ; 130 ; 396 ; 143 ; 72 ; 142 ; 32 ; 37 ; 65 ; 64 ; 408 ; 95 ; 80 ; 48 ; 122 ; 271 ; 289 ; 170 ; 139 ; 454 ; 261 ; 126 ; 304 
18-Jan;DEPO; 91 ; 72 ; 108 ; 50 ; 66 ; 57 ; 48 ; 86 ; 130 ; 396 ; 143 ; 72 ; 142 ; 32 ; 38 ; 65 ; 64 ; 408 ; 95 ; 80 ; 48 ; 121 ; 271 ; 289 ; 170 ; 139 ; 454 ; 261 ; 127 ; 304 
19-Jan;DEPO; 91 ; 71 ; 108 ; 51 ; 66 ; 57 ; 48 ; 86 ; 131 ; 394 ; 143 ; 71 ; 141 ; 32 ; 37 ; 64 ; 64 ; 408 ; 95 ; 80 ; 48 ; 122 ; 271 ; 289 ; 171 ; 140 ; 453 ; 261 ; 127 ; 338 
20-Jan;DEPO; 91 ; 71 ; 108 ; 50 ; 66 ; 57 ; 48 ; 86 ; 131 ; 395 ; 143 ; 71 ; 141 ; 32 ; 37 ; 64 ; 64 ; 407 ; 97 ; 80 ; 48 ; 122 ; 271 ; 289 ; 171 ; 140 ; 493 ; 261 ; 127 ; 338 
21-Jan;DEPO; 91 ; 71 ; 108 ; 52 ; 66 ; 57 ; 48 ; 86 ; 131 ; 395 ; 143 ; 70 ; 141 ; 32 ; 37 ; 64 ; 63 ; 406 ; 97 ; 80 ; 48 ; 123 ; 271 ; 286 ; 172 ; 142 ; 493 ; 264 ; 127 ; 338 
22-Jan;DEPO; 91 ; 72 ; 108 ; 52 ; 66 ; 58 ; 48 ; 86 ; 132 ; 398 ; 143 ; 70 ; 141 ; 32 ; 37 ; 63 ; 63 ; 407 ; 97 ; 80 ; 48 ; 123 ; 281 ; 274 ; 172 ; 142 ; 493 ; 262 ; 129 ; 338 
23-Jan;DEPO; 91 ; 72 ; 108 ; 51 ; 66 ; 58 ; 49 ; 86 ; 132 ; 401 ; 142 ; 71 ; 141 ; 32 ; 37 ; 63 ; 64 ; 406 ; 97 ; 80 ; 48 ; 120 ; 281 ; 274 ; 172 ; 142 ; 493 ; 263 ; 129 ; 331 
24-Jan;DEPO; 91 ; 71 ; 108 ; 51 ; 66 ; 58 ; 49 ; 86 ; 132 ; 401 ; 142 ; 71 ; 141 ; 32 ; 37 ; 63 ; 64 ; 406 ; 97 ; 80 ; 48 ; 120 ; 281 ; 274 ; 172 ; 142 ; 493 ; 263 ; 129 ; 331 
25-Jan;DEPO; 91 ; 71 ; 108 ; 51 ; 66 ; 58 ; 49 ; 86 ; 132 ; 401 ; 142 ; 71 ; 141 ; 32 ; 37 ; 63 ; 64 ; 406 ; 97 ; 80 ; 48 ; 119 ; 281 ; 274 ; 172 ; 142 ; 493 ; 263 ; 129 ; 331 
26-Jan;DEPO; 91 ; 72 ; 108 ; 51 ; 66 ; 54 ; 49 ; 86 ; 132 ; 400 ; 142 ; 71 ; 142 ; 32 ; 37 ; 63 ; 64 ; 405 ; 97 ; 80 ; 47 ; 119 ; 282 ; 274 ; 172 ; 142 ; 493 ; 263 ; 129 ; 330 
27-Jan;DEPO; 90 ; 71 ; 108 ; 52 ; 66 ; 54 ; 49 ; 86 ; 132 ; 415 ; 142 ; 71 ; 142 ; 32 ; 37 ; 63 ; 64 ; 406 ; 97 ; 79 ; 47 ; 119 ; 283 ; 274 ; 172 ; 143 ; 492 ; 263 ; 129 ; 330 
28-Jan;DEPO; 90 ; 71 ; 108 ; 52 ; 66 ; 55 ; 48 ; 86 ; 132 ; 415 ; 142 ; 72 ; 142 ; 33 ; 37 ; 64 ; 64 ; 402 ; 95 ; 80 ; 48 ; 119 ; 282 ; 274 ; 171 ; 142 ; 493 ; 263 ; 129 ; 330 
29-Jan;DEPO; 90 ; 71 ; 107 ; 52 ; 66 ; 55 ; 48 ; 86 ; 131 ; 415 ; 142 ; 72 ; 142 ; 33 ; 37 ; 64 ; 64 ; 402 ; 95 ; 80 ; 48 ; 119 ; 282 ; 273 ; 171 ; 150 ; 493 ; 263 ; 129 ; 330 
30-Jan;DEPO; 94 ; 71 ; 102 ; 52 ; 66 ; 55 ; 48 ; 86 ; 131 ; 414 ; 141 ; 72 ; 142 ; 33 ; 37 ; 64 ; 63 ; 402 ; 87 ; 80 ; 48 ; 118 ; 285 ; 274 ; 167 ; 149 ; 518 ; 262 ; 129 ; 295 
31-Jan;DEPO; 94 ; 71 ; 102 ; 52 ; 66 ; 55 ; 48 ; 86 ; 131 ; 415 ; 141 ; 72 ; 142 ; 33 ; 37 ; 64 ; 63 ; 402 ; 86 ; 79 ; 48 ; 118 ; 285 ; 274 ; 167 ; 149 ; 518 ; 262 ; 129 ; 295 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-Feb;DEPO; 94 ; 71 ; 102 ; 52 ; 66 ; 55 ; 48 ; 86 ; 131 ; 415 ; 141 ; 72 ; 142 ; 33 ; 37 ; 64 ; 63 ; 402 ; 86 ; 79 ; 48 ; 118 ; 285 ; 274 ; 166 ; 149 ; 518 ; 262 ; 129 ; 295 
02-Feb;DEPO; 93 ; 71 ; 103 ; 52 ; 66 ; 55 ; 48 ; 161 ; 132 ; 413 ; 141 ; 70 ; 142 ; 30 ; 37 ; 63 ; 63 ; 400 ; 94 ; 79 ; 47 ; 119 ; 285 ; 273 ; 166 ; 149 ; 468 ; 262 ; 129 ; 329 
03-Feb;DEPO; 93 ; 71 ; 103 ; 52 ; 66 ; 55 ; 48 ; 161 ; 131 ; 411 ; 140 ; 70 ; 142 ; 30 ; 37 ; 63 ; 63 ; 400 ; 94 ; 79 ; 45 ; 119 ; 285 ; 273 ; 166 ; 149 ; 468 ; 263 ; 129 ; 329 
04-Feb;DEPO; 94 ; 71 ; 103 ; 52 ; 66 ; 55 ; 48 ; 161 ; 131 ; 411 ; 140 ; 69 ; 142 ; 30 ; 37 ; 63 ; 63 ; 400 ; 94 ; 79 ; 45 ; 119 ; 285 ; 288 ; 166 ; 149 ; 458 ; 265 ; 129 ; 328 
05-Feb;DEPO; 94 ; 71 ; 103 ; 52 ; 66 ; 54 ; 47 ; 161 ; 131 ; 412 ; 140 ; 69 ; 143 ; 30 ; 37 ; 63 ; 64 ; 400 ; 94 ; 79 ; 45 ; 119 ; 284 ; 285 ; 166 ; 149 ; 457 ; 265 ; 129 ; 327 
06-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 174 ; 131 ; 411 ; 140 ; 68 ; 143 ; 30 ; 37 ; 63 ; 64 ; 400 ; 94 ; 79 ; 45 ; 119 ; 279 ; 293 ; 166 ; 149 ; 457 ; 265 ; 129 ; 327 
07-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 174 ; 131 ; 411 ; 140 ; 68 ; 143 ; 30 ; 37 ; 63 ; 64 ; 400 ; 93 ; 79 ; 45 ; 119 ; 279 ; 293 ; 166 ; 149 ; 457 ; 265 ; 129 ; 327 
08-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 174 ; 131 ; 411 ; 140 ; 68 ; 143 ; 30 ; 37 ; 63 ; 64 ; 400 ; 94 ; 79 ; 45 ; 119 ; 279 ; 292 ; 166 ; 148 ; 457 ; 265 ; 129 ; 326 
09-Feb;DEPO; 93 ; 70 ; 103 ; 51 ; 66 ; 54 ; 47 ; 169 ; 131 ; 411 ; 140 ; 68 ; 143 ; 30 ; 37 ; 63 ; 64 ; 400 ; 95 ; 79 ; 45 ; 119 ; 279 ; 289 ; 166 ; 151 ; 457 ; 265 ; 129 ; 326 
10-Feb;DEPO; 93 ; 70 ; 103 ; 51 ; 66 ; 54 ; 47 ; 169 ; 132 ; 414 ; 140 ; 68 ; 140 ; 30 ; 37 ; 63 ; 64 ; 400 ; 95 ; 79 ; 45 ; 119 ; 263 ; 288 ; 166 ; 151 ; 457 ; 265 ; 129 ; 326 
11-Feb;DEPO; 93 ; 70 ; 103 ; 51 ; 66 ; 54 ; 47 ; 169 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 65 ; 399 ; 95 ; 79 ; 45 ; 119 ; 263 ; 288 ; 160 ; 151 ; 257 ; 265 ; 129 ; 328 
12-Feb;DEPO; 94 ; 70 ; 103 ; 51 ; 66 ; 54 ; 47 ; 169 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 65 ; 400 ; 95 ; 79 ; 45 ; 119 ; 263 ; 286 ; 159 ; 151 ; 257 ; 265 ; 128 ; 327 
13-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 400 ; 95 ; 79 ; 45 ; 119 ; 263 ; 286 ; 158 ; 151 ; 207 ; 265 ; 127 ; 327 
14-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 65 ; 400 ; 95 ; 79 ; 45 ; 118 ; 263 ; 286 ; 158 ; 151 ; 207 ; 266 ; 127 ; 327 
15-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 47 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 400 ; 95 ; 79 ; 45 ; 118 ; 263 ; 286 ; 158 ; 151 ; 207 ; 266 ; 127 ; 327 
16-Feb;DEPO; 94 ; 70 ; 103 ; 52 ; 66 ; 54 ; 48 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 400 ; 95 ; 78 ; 45 ; 119 ; 263 ; 286 ; 158 ; 151 ; 207 ; 266 ; 127 ; 327 
17-Feb;DEPO; 94 ; 69 ; 103 ; 52 ; 66 ; 54 ; 48 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 400 ; 95 ; 78 ; 45 ; 119 ; 263 ; 286 ; 158 ; 151 ; 208 ; 266 ; 127 ; 327 
18-Feb;DEPO; 94 ; 69 ; 102 ; 52 ; 66 ; 54 ; 47 ; 170 ; 132 ; 415 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 401 ; 95 ; 78 ; 45 ; 159 ; 261 ; 285 ; 158 ; 150 ; 208 ; 267 ; 127 ; 320 
19-Feb;DEPO; 95 ; 70 ; 102 ; 49 ; 66 ; 54 ; 47 ; 170 ; 132 ; 415 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 65 ; 398 ; 95 ; 78 ; 45 ; 158 ; 266 ; 283 ; 158 ; 150 ; 208 ; 267 ; 126 ; 320 
20-Feb;DEPO; 95 ; 70 ; 102 ; 51 ; 66 ; 54 ; 48 ; 170 ; 132 ; 415 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 65 ; 398 ; 95 ; 79 ; 45 ; 158 ; 266 ; 283 ; 159 ; 150 ; 258 ; 268 ; 127 ; 319 
21-Feb;DEPO; 95 ; 69 ; 102 ; 51 ; 66 ; 54 ; 48 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 398 ; 95 ; 79 ; 45 ; 158 ; 266 ; 283 ; 159 ; 150 ; 258 ; 268 ; 128 ; 319 
22-Feb;DEPO; 95 ; 69 ; 102 ; 51 ; 66 ; 53 ; 48 ; 170 ; 132 ; 414 ; 140 ; 67 ; 141 ; 30 ; 37 ; 63 ; 66 ; 398 ; 95 ; 79 ; 45 ; 158 ; 266 ; 283 ; 159 ; 150 ; 258 ; 268 ; 128 ; 319 
23-Feb;DEPO; 95 ; 70 ; 102 ; 51 ; 66 ; 53 ; 47 ; 168 ; 132 ; 414 ; 140 ; 66 ; 140 ; 30 ; 37 ; 64 ; 66 ; 398 ; 95 ; 79 ; 45 ; 158 ; 266 ; 283 ; 159 ; 160 ; 258 ; 268 ; 128 ; 319 
24-Feb;DEPO; 95 ; 70 ; 102 ; 51 ; 66 ; 53 ; 47 ; 167 ; 132 ; 413 ; 140 ; 66 ; 140 ; 30 ; 37 ; 64 ; 65 ; 394 ; 95 ; 79 ; 45 ; 158 ; 265 ; 282 ; 159 ; 159 ; 258 ; 268 ; 128 ; 319 
25-Feb;DEPO; 94 ; 70 ; 102 ; 51 ; 65 ; 53 ; 47 ; 154 ; 132 ; 414 ; 140 ; 66 ; 140 ; 30 ; 37 ; 64 ; 65 ; 394 ; 95 ; 79 ; 45 ; 156 ; 266 ; 283 ; 159 ; 159 ; 358 ; 267 ; 128 ; 319 
26-Feb;DEPO; 93 ; 70 ; 102 ; 51 ; 66 ; 53 ; 47 ; 136 ; 132 ; 414 ; 140 ; 67 ; 140 ; 30 ; 37 ; 64 ; 65 ; 393 ; 95 ; 79 ; 45 ; 156 ; 268 ; 283 ; 159 ; 159 ; 358 ; 268 ; 128 ; 319 
