UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
19-Dec;GIRO; 143 ; 54 ; 81 ; 30 ; 56 ; 37 ; 84 ; 80 ; 70 ; 163 ; 104 ; 94 ; 128 ; 71 ; 48 ; 52 ; 77 ; 85 ; 43 ; 52 ; 13 ; 89 ; 113 ; 207 ; 63 ; 212 ; 54 ; 93 ; 176 ; 216 
20-Dec;GIRO; 145 ; 54 ; 82 ; 31 ; 57 ; 38 ; 85 ; 80 ; 70 ; 164 ; 105 ; 94 ; 129 ; 71 ; 49 ; 52 ; 77 ; 86 ; 44 ; 52 ; 13 ; 90 ; 114 ; 209 ; 64 ; 214 ; 55 ; 94 ; 177 ; 218 
21-Dec;GIRO; 146 ; 55 ; 82 ; 31 ; 57 ; 38 ; 85 ; 81 ; 71 ; 165 ; 106 ; 95 ; 130 ; 72 ; 49 ; 52 ; 78 ; 86 ; 44 ; 53 ; 13 ; 90 ; 114 ; 210 ; 64 ; 215 ; 55 ; 94 ; 178 ; 219 
22-Dec;GIRO; 145 ; 54 ; 82 ; 31 ; 57 ; 37 ; 85 ; 80 ; 70 ; 164 ; 105 ; 94 ; 129 ; 71 ; 49 ; 52 ; 77 ; 86 ; 43 ; 52 ; 13 ; 90 ; 114 ; 209 ; 64 ; 214 ; 55 ; 94 ; 177 ; 217 
23-Dec;GIRO; 141 ; 53 ; 79 ; 30 ; 55 ; 36 ; 82 ; 78 ; 68 ; 160 ; 102 ; 92 ; 126 ; 69 ; 47 ; 51 ; 75 ; 83 ; 42 ; 51 ; 12 ; 87 ; 111 ; 203 ; 62 ; 208 ; 53 ; 91 ; 172 ; 211 
24-Dec;GIRO; 146 ; 55 ; 82 ; 31 ; 57 ; 38 ; 86 ; 81 ; 71 ; 166 ; 106 ; 95 ; 131 ; 72 ; 49 ; 53 ; 78 ; 87 ; 44 ; 53 ; 13 ; 91 ; 115 ; 211 ; 64 ; 216 ; 55 ; 95 ; 179 ; 220 
25-Dec;GIRO; 147 ; 55 ; 83 ; 31 ; 58 ; 38 ; 86 ; 82 ; 71 ; 167 ; 107 ; 96 ; 131 ; 72 ; 50 ; 53 ; 79 ; 87 ; 44 ; 53 ; 13 ; 91 ; 116 ; 212 ; 65 ; 217 ; 56 ; 95 ; 180 ; 221 
26-Dec;GIRO; 147 ; 55 ; 83 ; 31 ; 58 ; 38 ; 86 ; 82 ; 72 ; 167 ; 107 ; 96 ; 132 ; 73 ; 50 ; 53 ; 79 ; 87 ; 44 ; 53 ; 13 ; 91 ; 116 ; 213 ; 65 ; 218 ; 56 ; 96 ; 180 ; 222 
27-Dec;GIRO; 148 ; 56 ; 84 ; 31 ; 58 ; 38 ; 87 ; 82 ; 72 ; 169 ; 108 ; 97 ; 133 ; 73 ; 50 ; 53 ; 79 ; 88 ; 45 ; 54 ; 13 ; 92 ; 117 ; 214 ; 65 ; 219 ; 56 ; 96 ; 182 ; 223 
28-Dec;GIRO; 149 ; 56 ; 84 ; 31 ; 58 ; 39 ; 87 ; 82 ; 72 ; 169 ; 108 ; 97 ; 133 ; 73 ; 50 ; 53 ; 79 ; 88 ; 45 ; 54 ; 13 ; 92 ; 117 ; 215 ; 65 ; 220 ; 56 ; 96 ; 182 ; 224 
