UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
18-Dec;DPK; 518 ; 399 ; 562 ; 270 ; 346 ; 341 ; 372 ; 343 ; 520 ; 1.171 ; 514 ; 529 ; 680 ; 309 ; 220 ; 276 ; 416 ; 1.010 ; 407 ; 339 ; 272 ; 482 ; 1.055 ; 1.021 ; 498 ; 807 ; 740 ; 846 ; 711 ; 1.454 
19-Dec;DPK; 520 ; 400 ; 564 ; 271 ; 347 ; 342 ; 373 ; 344 ; 521 ; 1.174 ; 516 ; 530 ; 682 ; 310 ; 221 ; 277 ; 418 ; 1.013 ; 408 ; 341 ; 273 ; 484 ; 1.059 ; 1.025 ; 499 ; 810 ; 741 ; 849 ; 714 ; 1.459 
20-Dec;DPK; 519 ; 399 ; 562 ; 271 ; 346 ; 341 ; 373 ; 344 ; 520 ; 1.173 ; 516 ; 529 ; 681 ; 310 ; 220 ; 277 ; 417 ; 1.011 ; 407 ; 340 ; 272 ; 483 ; 1.056 ; 1.023 ; 499 ; 809 ; 741 ; 847 ; 713 ; 1.456 
21-Dec;DPK; 519 ; 399 ; 562 ; 270 ; 346 ; 341 ; 373 ; 344 ; 520 ; 1.172 ; 515 ; 529 ; 681 ; 310 ; 220 ; 276 ; 417 ; 1.010 ; 407 ; 340 ; 272 ; 483 ; 1.055 ; 1.023 ; 498 ; 809 ; 740 ; 846 ; 713 ; 1.454 
22-Dec;DPK; 518 ; 398 ; 560 ; 270 ; 345 ; 340 ; 371 ; 342 ; 518 ; 1.168 ; 514 ; 528 ; 679 ; 309 ; 220 ; 276 ; 416 ; 1.007 ; 406 ; 339 ; 271 ; 482 ; 1.052 ; 1.020 ; 497 ; 807 ; 738 ; 844 ; 711 ; 1.451 
23-Dec;DPK; 513 ; 396 ; 557 ; 268 ; 343 ; 338 ; 368 ; 340 ; 515 ; 1.161 ; 510 ; 524 ; 674 ; 306 ; 218 ; 274 ; 413 ; 1.003 ; 404 ; 337 ; 270 ; 478 ; 1.047 ; 1.012 ; 494 ; 799 ; 734 ; 839 ; 705 ; 1.442 
24-Dec;DPK; 522 ; 401 ; 564 ; 272 ; 348 ; 343 ; 374 ; 345 ; 522 ; 1.174 ; 517 ; 532 ; 684 ; 312 ; 221 ; 277 ; 419 ; 1.012 ; 408 ; 341 ; 273 ; 484 ; 1.059 ; 1.027 ; 499 ; 813 ; 738 ; 848 ; 716 ; 1.461 
25-Dec;DPK; 521 ; 399 ; 563 ; 271 ; 347 ; 341 ; 374 ; 344 ; 520 ; 1.171 ; 516 ; 530 ; 682 ; 311 ; 221 ; 277 ; 418 ; 1.009 ; 407 ; 340 ; 272 ; 483 ; 1.055 ; 1.025 ; 498 ; 811 ; 737 ; 846 ; 715 ; 1.456 
26-Dec;DPK; 520 ; 398 ; 561 ; 270 ; 346 ; 340 ; 372 ; 343 ; 518 ; 1.168 ; 515 ; 528 ; 680 ; 310 ; 220 ; 276 ; 416 ; 1.006 ; 406 ; 339 ; 271 ; 482 ; 1.052 ; 1.022 ; 497 ; 809 ; 736 ; 843 ; 713 ; 1.452 
27-Dec;DPK; 520 ; 398 ; 560 ; 269 ; 345 ; 339 ; 372 ; 343 ; 518 ; 1.168 ; 514 ; 528 ; 679 ; 310 ; 220 ; 276 ; 416 ; 1.005 ; 405 ; 339 ; 270 ; 482 ; 1.050 ; 1.021 ; 496 ; 809 ; 736 ; 842 ; 713 ; 1.450 
28-Dec;DPK; 519 ; 397 ; 559 ; 269 ; 345 ; 339 ; 372 ; 343 ; 517 ; 1.166 ; 514 ; 527 ; 679 ; 309 ; 220 ; 276 ; 415 ; 1.004 ; 404 ; 338 ; 270 ; 482 ; 1.049 ; 1.020 ; 496 ; 809 ; 735 ; 841 ; 712 ; 1.448 
29-Dec;DPK; 529 ; 406 ; 571 ; 275 ; 352 ; 347 ; 380 ; 349 ; 527 ; 1.184 ; 522 ; 539 ; 692 ; 317 ; 224 ; 281 ; 425 ; 1.018 ; 413 ; 345 ; 276 ; 489 ; 1.070 ; 1.041 ; 503 ; 824 ; 736 ; 856 ; 726 ; 1.479 
